,시나리오 넘버,대사 넘버,배경,캐릭터,표정,대사,번역,,,INDEX,,CODE
,13,4,하늘 왕국 월드맵,주인공,,"아뿔싸, 난 재빨리 즈믄의 입을 틀어막았다.\n하지만 지부장님은 이미 탑의 입구로 걸어가고 있었다.","Oops, I covered Zimon's mouth.\nBut the manager was already walking to the entrance of the tower.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,13,5,하늘 왕국 월드맵,지부장,보통,올라갑시다.,Let's move,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,13,6,하늘 왕국 월드맵,주인공,,"잠, 잠깐만요 지부장님!",S..stop! manager!,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,13,7,하늘 왕국 월드맵,지부장,화남,뭡니까.,What.,,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
,13,8,하늘 왕국 월드맵,주인공,,어둠의 에너지로 대체 뭘......,What will you do with dark energy?,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,13,9,하늘 왕국 월드맵,지부장,웃음,뭘 할까요 제가.,What will I do with it?,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,13,10,하늘 왕국 월드맵,주인공,,소름끼치는 웃음이었다. 난 아무런 대꾸도 할 수 없어 그냥 지부장님의 뒤를 쫓았다......,"It was a gruesome smile.\nI couldn't say a word, so I just followed after the manager.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,,,,퀘스트,18,고대의 탑 꼭대기의 메가 코브라를 무찌르자 (0/1)\n(고대의 탑에 퀘스트 표시),Defeat Mega cobra at the top of ancient tower.,,,FALSE,,
,14,1,하늘 왕국 월드맵,지부장,보통,"아직도 몬스터를 내버려두다니, 그 왕녀는 건축물 관리도 형편없군요.",Leaving the monster even now. It's terrible.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,14,2,하늘 왕국 월드맵,주인공,,우리같은 침입자를 막기 위해 일부러 내버려 뒀다고 알고 있습니다.\n물론 입은 꾹 다물고 속으로만 생각했다.,They left it intentionally to prevent intruders like us\nSure. I didn't talk. just thought.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,14,3,하늘 왕국 월드맵,지부장,보통,이게 어둠의 에너지를 발산하는 장치군요. 일부러 부숴놓은건가?,This should be the device emits dark energy. Did you break it?,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,14,4,하늘 왕국 월드맵,누리,웃음,"그, 그렇네요! 이런 정교한 에너지 장치를 우리끼리 고치는건 불가능하겠죠?\n아, 아이 아쉬워라! 별 수 없겠네!",Y..Yes.  I guess it's impossible for us to fix this sophisticated device.\nI feel really sorry about it.,,,NOORI_NORMAL,,"SET_INFO(SpeechPopupType::NOORI_NORMAL, _MSG(idx++));"
,14,5,하늘 왕국 월드맵,지부장,보통,고쳤습니다.,Done.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,14,6,하늘 왕국 월드맵,주인공,,깜짝 놀란 우리 셋이 말릴 사이도 없었다.\n지부장님이 가볍게 장치를 만지자 구름같이 쏟아져나온 검은 에너지는 하늘을 꿰뚫고 높이 치솟았다!,We had no time to stop her.\nManager operated the machine and it started to emit the dark energy into the sky.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,14,7,하늘 왕국 월드맵,즈믄,슬픔,세상에...... 그 고생을 하며 겨우 봉인한 드래곤 슬레이어를 우리 손으로......,Oh my god... We just unseal the Dragon Slayer ourselves!,,,ZUMUN_SAD,,"SET_INFO(SpeechPopupType::ZUMUN_SAD, _MSG(idx++));"
,14,8,하늘 왕국 월드맵,누리,슬픔,으앙~ 난 몰라 이제! 지부장님이 책임져요!,Manager! This is your fault!,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,14,9,하늘 왕국 월드맵,지부장,보통,"네, 물론 책임은 제가 지죠. 그보다 유타칸의 운명이 지척입니다. 서둘러 움직이죠.","Yes, it's mine. More than that, we have to save Yutakan, let's move.",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,14,10,하늘 왕국 월드맵,주인공,,성의 없는 대답과 함께 지부장님은 또다시 발걸음을 옮겼다. 이젠 나도 모르겠다.,"With lack  of sincerity, manager moved her step. Now, I don't know either.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,,,,퀘스트,19,드래곤 슬레이어에게 덤벼보자\n(망자의 은신처에 퀘스트 표시)\n(전투 1회시 조건 완료),Challenge to Dragon Slayer.,,,FALSE,,
,15,1,망자의 은신처,주인공,,역시 너무 강하다! 도저히 당해낼 수가 없다!,It's too strong! we can't make it!,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,15,2,망자의 은신처,지부장,보통,이건...... 꽤나 강하군요.,That is ...... quite strong.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,15,3,망자의 은신처,누리,슬픔,당연하죠! ,Of course!!,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,15,4,망자의 은신처,즈믄,슬픔,우리가 그때 얼마나 고생을 해서 겨우 봉인시킨 녀석인데!,How could you do it!,,,ZUMUN_SAD,,"SET_INFO(SpeechPopupType::ZUMUN_SAD, _MSG(idx++));"
,15,5,망자의 은신처,지부장,보통,음...... 그래도 조금만 더 하면 될 것 같기도 한데.\n한번만 더 싸워볼까요?,"Um... Well, maybe a little more.\nLet's do it again.",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,,,,퀘스트,20,드래곤 슬레이어에게...... 덤벼보자\n(망자의 은신처에 퀘스트 표시)\n(전투 1회시 조건완료),Chall....enge to Dragon Slayer.,,,FALSE,,
,16,1,망자의 은신처,주인공,,"주, 죽을 것 같다. 몇 번을 싸워도 도저히 이길 수 있을 것 같지가 않다.","I'm gonna die. No matter how many times I fight, I can't seem to win.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,16,2,망자의 은신처,지부장,보통,아깝군요. 약간만 더 하면 이길 수 있었는데.,That was close. Let's do it one more,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,16,3,망자의 은신처,누리,슬픔,"(주인공), 도망쳐! 죽을지도 몰라!",Run (주인공)! We can't die here!,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG_WITH_NICK(idx++));"
,16,4,망자의 은신처,즈믄,화남,지부장님 너무하신거 아닌가요!,"Manager! You're going too far, Aren't you?",,,ZUMUN_ANGRY,,"SET_INFO(SpeechPopupType::ZUMUN_ANGRY, _MSG(idx++));"
,16,5,망자의 은신처,지부장,보통,아뇨. 냉정하고 객관적인 판단에 따른 합리적인 예측 결과에서 크게 벗어나지 않습니다.\n제압하기까지 먼 것 같지 않으니 한번만 더 해보죠.,"Negative. It was close to  expected results based on cool, objective decision.\nWe can do it more.",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,16,6,망자의 은신처,주인공,,"아, 탄식이 터져나오며 나도 모르게 눈물이 흘렀다.\n너무 힘들었다. 제발 누가 나를 좀 구해줘!",Ah... It makes me weepy.\nIt was too tough. Please somebody help me.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,16,7,망자의 은신처,헥토르,보통,엘리스 피넬 지부장님?,Manager Finnell?,,,HECTOR_NORMAL,,"SET_INFO(SpeechPopupType::HECTOR_NORMAL, _MSG(idx++));"
,16,8,망자의 은신처,주인공,,구원은 멀리 있지 않았다! 오랜만에 듣는 익숙한 목소리에 난 한번 더 울음을 참아야 했다.\n지금 헥토르가 지부장님을 말려준다면 예전에 배신했던 걸 지금 한번 더 용서해줄 수도 있다.,"Savior has come! A familiar voice forced me to hold my tears one more time.\nIf Hector stop manager, I could forgive him one more time for betraying me.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,16,9,망자의 은신처,지부장,화남,뭐죠?,What?,,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
,16,10,망자의 은신처,헥토르,웃음,"아, 아하하, 지금 루나 왕녀님께서 찾고 계셔서 잠시 자리를 옮겨주셨으면 합니다.",Ahhaha... Princess Luna wants to see you. Please go with me,,,HECTOR_NORMAL,,"SET_INFO(SpeechPopupType::HECTOR_NORMAL, _MSG(idx++));"
,16,11,망자의 은신처,지부장,화남,못봤다고 전하세요. 지금 바쁩니다.,Tell her I didn't meet you. I'm busy now.,,,MANAGER_ANGRY,,"SET_INFO(SpeechPopupType::MANAGER_ANGRY, _MSG(idx++));"
,16,12,망자의 은신처,헥토르,웃음,"아뇨, 저...... 지금 전투의 여파로 왕궁의 기둥이... 하나 무너졌습니다만.","Uh.. In the aftermath of your battle, one of the pillars of the palace collapsed.",,,HECTOR_NORMAL,,"SET_INFO(SpeechPopupType::HECTOR_NORMAL, _MSG(idx++));"
,16,13,망자의 은신처,지부장,보통,......,....,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,16,14,망자의 은신처,누리,슬픔,......,....,,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,16,15,망자의 은신처,즈믄,슬픔,......,....,,,ZUMUN_SAD,,"SET_INFO(SpeechPopupType::ZUMUN_SAD, _MSG(idx++));"
,16,16,망자의 은신처,헥토르,보통,"배상 문제는 둘째치더라도, 왕녀님이 '꼭' 드리고 싶은 말씀이 있다고 하십니다. 함께 가주시죠.","Apart from compensation, she said she has something she would love to say.\nPlease come with me.",,,HECTOR_NORMAL,,"SET_INFO(SpeechPopupType::HECTOR_NORMAL, _MSG(idx++));"
,16,17,망자의 은신처,주인공,,"완전히 탈진한 날 헥토르가 부축해줬다.\n난 가슴깊이 감사하며, 그만 정신을 잃고 말았다.",Hector helped me that totally exhausted.\nThanks to him and I passed out.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,,,,퀘스트,21,알현실로 이동하자.\n(왕궁 본채에 퀘스트 표시),Go to Sky Realm,,,FALSE,,
,17,1,알현실,루나,화남,미치광이 같으니! 지금 무슨 짓을 한지 알기나 합니까!,Are you mad? Do you even know what you've done,,,LUNA_ANGRY,,"SET_INFO(SpeechPopupType::LUNA_ANGRY, _MSG(idx++));"
,17,2,알현실,지부장,보통,유타칸을 구하는 중입니다.,I'm saving Yutakan now.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,17,3,알현실,루나,화남,헛소리! 드래곤 슬레이어는 유타칸을 멸망시킬 존재입니다!,Nonsense! Dragon Slayer will annihilate Yutakan!,,,LUNA_ANGRY,,"SET_INFO(SpeechPopupType::LUNA_ANGRY, _MSG(idx++));"
,17,4,알현실,지부장,보통,유타칸을 구하는 중입니다.,I'm saving Yutakan now.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,17,5,알현실,루나,화남,당신의 행동이 어떻게 유타칸을 구한다는건지 설명해보세요!,Tell me how you can save Yutakan!,,,LUNA_ANGRY,,"SET_INFO(SpeechPopupType::LUNA_ANGRY, _MSG(idx++));"
,17,6,알현실,지부장,웃음,유타칸을 구하는 중입니다.,I'm saving Yutakan now.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,17,7,알현실,주인공,,"아까와는 완전히 상황이 반대가 되었다. 루나 왕녀님은 잔뜩 일그러진 표정으로 화를 냈고,\n지부장님은...... 그런 왕녀님을 뻔뻔한 얼굴로 농락하고 있었다.",The situation was quite the opposite. Princess Luna's face became distorted\nThemanager was playing the princess with a brazen face.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,8,알현실,지부장,보통,유타칸을 구하는 중입니다아~,I'm saving Yutakan now.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,17,9,알현실,루나,화남,노래 부르지 마! 헥토르! 지금 눈 앞에서 왕실 모독죄가 벌어지는데 뭐하는거죠!\n왕실이 하사한 그 칼로 저 못되먹고 무례한 인간을 당장......!,Be quiet! Hector! Do something! She insulting royal family now!\nCut her th....,,,LUNA_ANGRY,,"SET_INFO(SpeechPopupType::LUNA_ANGRY, _MSG(idx++));"
,17,10,알현실,주인공,,"잠깐, 잠깐만요 왕녀님! 진정하세요!",Stop! Stop princess! Calm down!,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,11,알현실,헥토르,슬픔,"맞습니다 루나 왕녀님. 비록 무례한 행동을 하기는 하나,\n평소 엘리스 피넬이란 인물은 이런 행동을 이유없이 할 자가 아닙니다.",She is right princess.\nHer behavior is unbelievably disrespectful but there's might be a reason for it,,,HECTOR_SAD,,"SET_INFO(SpeechPopupType::HECTOR_SAD, _MSG(idx++));"
,17,12,알현실,주인공,,난 깜짝 놀란 얼굴로 헥토르를 돌아봤다.\n지부장님의 평판이 이 하늘 왕국에 닿을 정도로 유명했나?,I look back Hector with surprised face.\nWas the manager famous enough to reach Sky Realm?,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,13,알현실,헥토르,보통,"잠시만 마음을 가라앉히시고, 지부장과 한번 더 대화를 해보시죠.\n지부장도 좀...... 노래 그만 부르시고 말씀을 하시구요.","Please calm down and let's talk more with the manager.\nManager, will you?",,,HECTOR_NORMAL,,"SET_INFO(SpeechPopupType::HECTOR_NORMAL, _MSG(idx++));"
,17,14,알현실,주인공,,거기서 난 그만 고개를 돌려버리고 말았다. 헥토르를 쳐다보는 루나 왕녀의 저 살기 어린 시선이란......\n하지만 거기에 굴하지 않고 끝까지 진언하는 헥토르는 과연 기사의 귀감이었다.,"I can feel the threatening glare from princess.\nBut Hector still keep talking, He should be a living model of knight.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,15,알현실,누리,슬픔,"(우, 우리는 어떡해?!)",(What shall we do?),,,NOORI_SAD,,"SET_INFO(SpeechPopupType::NOORI_SAD, _MSG(idx++));"
,17,16,알현실,즈믄,슬픔,(그냥 조용히 있어! 고래가 싸우면 새우의 등만 터지는게 아냐!),(Just be quiet!),,,ZUMUN_SAD,,"SET_INFO(SpeechPopupType::ZUMUN_SAD, _MSG(idx++));"
,17,17,알현실,주인공,,"(이, 일단 헥토르에게 맡기자......)",(Let's leave it to Hector),,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,18,알현실,헥토르,보통,"지금껏 유타칸에 일어났던 어지간한 사건은 여기 (주인공) 이(가) 직접 해결해 왔습니다.\n하지만, 그 외에도 일어났던 많은 사건들은 모두 테이머 협회가 앞장서서 처리했죠.","Until today, (주인공) here has dealt with quite a few cases that have happened in Yutakan.\nAlso tamer association lead the way too.",,,HECTOR_NORMAL,,"SET_INFO(SpeechPopupType::HECTOR_NORMAL, _MSG_WITH_NICK(idx++));"
,17,19,알현실,헥토르,슬픔,"다크닉스, 드래곤 슬레이어 뿐만이 아닙니다 왕녀님...... 생각보다 유타칸은 많은 위험에 처했었습니다.\n그 와중 뛰어난 인재로 이름 높았던 지부장이었습니다. 부디 말씀 정도는 들어주시죠.",Not only Dark Nix but Dragon slayer. Yutakan is more dangerous than you might think.\nBut manager was known for her talent. Please listen to her.,,,HECTOR_SAD,,"SET_INFO(SpeechPopupType::HECTOR_SAD, _MSG(idx++));"
,17,20,알현실,즈믄,웃음,(오오! 합리적이고 설득력 있는 말이야!),(That's really reasonable and convincing word!),,,ZUMUN_NORMAL,,"SET_INFO(SpeechPopupType::ZUMUN_NORMAL, _MSG(idx++));"
,17,21,알현실,누리,웃음,(지부장님도 이상한 노래를 멈췄어!),(Manager stopped weird sing!),,,NOORI_NORMAL,,"SET_INFO(SpeechPopupType::NOORI_NORMAL, _MSG(idx++));"
,17,22,알현실,주인공,,(이번에는 이야기가 될 것 같은데!),(Come on...),,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,23,알현실,루나,보통,......,....,,,LUNA_NORMAL,,"SET_INFO(SpeechPopupType::LUNA_NORMAL, _MSG(idx++));"
,17,24,알현실,주인공,,"왕녀님이 입을 꾹 다물었다. 지부장님도 말씀이 없으셨다.\n두 명의 리더는, 말 없이 서로를 조용히 응시했다.",Princess and manager closed thier lips.\nThe two leaders stared silently at each other.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,25,알현실,루나,보통,심각한가요.,Is it serious?,,,LUNA_NORMAL,,"SET_INFO(SpeechPopupType::LUNA_NORMAL, _MSG(idx++));"
,17,26,알현실,주인공,,"왕녀님이 먼저 입을 열었다. 놀랍게도, 지부장님은 존댓말로 대답했다.","Princess start talking.\nSurprisingly, the manager answered in a long-tongued tone.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,27,알현실,지부장,보통,얼마나 심각한지조차 모를 정도로 심각합니다.,It's so serious that we don't even know how serious it is.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,17,28,알현실,루나,보통,......자신은 있으시겠죠.,Are you confident?,,,LUNA_NORMAL,,"SET_INFO(SpeechPopupType::LUNA_NORMAL, _MSG(idx++));"
,17,29,알현실,지부장,보통,물론입니다.,Of course.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,17,30,알현실,루나,슬픔,하아......,haa.....,,,LUNA_SAD,,"SET_INFO(SpeechPopupType::LUNA_SAD, _MSG(idx++));"
,17,31,알현실,주인공,,"왕녀님이 이마를 짚으며 깊은 한숨을 내쉬었다. 그리고 잠깐의 생각 뒤, 다시 말을 이어갔다.","Princess took a deep breathe. And after a moment's thought, she said it again.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,32,알현실,루나,보통,드래곤 슬레이어...... 본래 그 정체는 이젠 본인도 이름을 잊은 고대 드래곤이죠.\n분노와 증오의 화신이 되어버린 지금은 통제하기가 불가능에 가까울 겁니다.,"Dragon slayer...Originally, it was an ancient dragon who had forgotten its name and it turns to avatar of fury and anger. It could be difficult to control it",,,LUNA_NORMAL,,"SET_INFO(SpeechPopupType::LUNA_NORMAL, _MSG(idx++));"
,17,33,알현실,루나,분노,"방법은 단 하나, 힘으로 억누르세요.",The only way is to suppress it by force.,,,LUNA_NORMAL,,"SET_INFO(SpeechPopupType::LUNA_NORMAL, _MSG(idx++));"
,17,34,알현실,주인공,,거기서 지부장님의 대답을 듣고 난 다리에 힘이 풀렸다.,Manager's answer depressed me.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,35,알현실,지부장,보통,실패했습니다. 가지고 있는 힘만 가지고는 역부족이더군요.,We failed. It wasn't enough just to have the power.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,17,36,알현실,루나,웃음,"풋, 대책도 없으셨군요. 당연합니다.\n지금 드래곤 슬레이어는 통제할 수 없는 어둠의 에너지로 가득한 상태. 막을 수 없죠.",Of course. You can't.\nDragon Slayer is full of uncontrollable dark energy for now. ,,,LUNA_NORMAL,,"SET_INFO(SpeechPopupType::LUNA_NORMAL, _MSG(idx++));"
,17,37,알현실,루나,보통,"심해 신전의 인챈트의 힘과, 하늘 왕국의 정령의 힘을 합쳐야 합니다.\n이 장신구를 가져가세요. 이 장신구에 기존의 인챈트를 승계해 사용하세요.","You need power of Estella enchant and spirit of Sky realm.\nTake this accessory, hand down the enchant to this accessory.",,,LUNA_NORMAL,,"SET_INFO(SpeechPopupType::LUNA_NORMAL, _MSG(idx++));"
,17,38,알현실,루나,분노,어설픈 힘 따위는 생각도 하지 마세요. 필요한 건 막강하고 절대적인 힘입니다.\n그게 아니라면 드래곤 슬레이어의 통제는 커녕 대화조차 불가능합니다.,"Don't even think about a clumsy hand. All it takes is strong, absolute power.\nOtherwise, Dragon slayer can not be controlled, nor can it be talked about.",,,LUNA_NORMAL,,"SET_INFO(SpeechPopupType::LUNA_NORMAL, _MSG(idx++));"
,17,39,알현실,주인공,,왕녀님의 단호한 말과 강한 의지를 느낀 우리는 고개를 끄덕이고 알현실을 떠났다.,We can feel a strong will from her and leave audience chamber.,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,17,40,알현실,주인공,,서둘러야겠다. 고대신룡의 목숨이 경각에 달렸다!,We have to hurry up. God dragon is in danger!,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,,회방(10/5) 장신구,,퀘스트,22,고귀한 장식 뿔에 인챈트 승계를 하고 드래곤 슬레이어에게 승리하자\n(에스텔라 신전에 퀘스트 표시)\n(조건 완료 시 망자의 은신처에 퀘스트 표시)\n(퀘스트 시작하며 고귀한 장식 뿔 아이템 획득),Hand down the enchant to Noble horn and defeat Dragon slayer.,,,FALSE,,
,18,1,망자의 은신처,드래곤 슬레이어,,증오스러운 드래곤들... 같으니...,You hateful dragons...,,,DRAGON_SLAYER,,"SET_INFO(SpeechPopupType::DRAGON_SLAYER, _MSG(idx++));"
,18,2,망자의 은신처,즈믄,슬픔,"이, 이겼어!",We made it!,,,ZUMUN_SAD,,"SET_INFO(SpeechPopupType::ZUMUN_SAD, _MSG(idx++));"
,18,3,망자의 은신처,누리,기쁨,와! 결국 드래곤 슬레이어를 쓰러뜨렸구나!,Wow! You defeat Dragon slayer!,,,NOORI_HAPPY,,"SET_INFO(SpeechPopupType::NOORI_HAPPY, _MSG(idx++));"
,18,4,망자의 은신처,드래곤 슬레이어,,크으으으...... 절대 용서하지 않겠다. 반드시 너희들을 전부...!,I'll never forgive you all!,,,DRAGON_SLAYER,,"SET_INFO(SpeechPopupType::DRAGON_SLAYER, _MSG(idx++));"
,18,5,망자의 은신처,주인공,,증오로 가득한 이글거리는 눈빛.\n하지만 힘이 다 빠져 바닥에 드러누운 상태에서는 아무리 무섭게 굴어봐야 무섭지가 않다.,"Eyes with anger and hatred.\nBut when it is exhausted and lying on the floor, it's not scary.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,18,6,망자의 은신처,주인공,,우린 정말로 드래곤 슬레이어에게 승리한 것이다!,We really beat Dragon Slayer!,,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,18,7,망자의 은신처,지부장,보통,"과연 무시무시한 상대였군요. 그리고 이정도면 확실히, 저희에게 도움이 되는 힘이 될 것 같습니다.",It was really terrible enemy. And I'm sure this will be a great help to us.,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,18,8,망자의 은신처,드래곤 슬레이어,,도움? 도움이라고? 무슨 헛소리냐!,Help? You say help? No kidding!,,,DRAGON_SLAYER,,"SET_INFO(SpeechPopupType::DRAGON_SLAYER, _MSG(idx++));"
,18,9,망자의 은신처,지부장,보통,아픈 꼴을 보여드린 건 미안합니다. 하지만 이러질 않으면 대화가 되질 않으니 별 수 없었죠.,"Sorry to hurt you. But if we don't, we won't be able to talk.",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,18,10,망자의 은신처,드래곤 슬레이어,,닥쳐라! 힘이 회복되기만 하면 당장이라도......,Be quiet! As soon as I get my strength back ...,,,DRAGON_SLAYER,,"SET_INFO(SpeechPopupType::DRAGON_SLAYER, _MSG(idx++));"
,18,11,망자의 은신처,지부장,보통,"네, 알겠습니다. 일단 이야기를 들어주시죠.","Yes, I see. but listen to me.",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,18,12,망자의 은신처,주인공,,이상하게도 고분고분 지부장님의 말을 따르는 드래곤 슬레이어.\n생각해보면 '대화' 자체를 한 기억이 별로 없을 것이다.,"Unusually obedient Dragon slayer.\nIf you think about it, you won't remember much about the 'conversation' itself. ",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,18,13,망자의 은신처,주인공,,드래곤 슬레이어로 타락한 뒤로는 어쩌면 처음일지도.\n그래서 지부장님의 '저런 대화법'에 화조차 내지 못한다.,"Maybe it's the first time since it became corrupted.\nSo it can't even get upset over the ""that conversation"".",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,18,14,망자의 은신처,지부장,보통,"그래서, 고대신룡과 유타칸이 위험하니 당신에게 도움을 요청하려고 합니다.","So, I'll ask for your help since God dragon and Yutakan.",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,18,15,망자의 은신처,드래곤 슬레이어,,크크크...... 우습구나. 내 복수가 이제 이루어지려고 하는데 그걸 막아달라고?\n차라리 나를 죽여라! 저세상에서 고대신룡을 만나 한번 더 죽여주지!,Kkk... that's funny. My vengeance is about to come true. You want me to stop it?\nKill me rather! I'll meet him in the underworld and kill God dragon again!,,,DRAGON_SLAYER,,"SET_INFO(SpeechPopupType::DRAGON_SLAYER, _MSG(idx++));"
,18,16,망자의 은신처,지부장,보통,드래곤이 사후세계를 믿다니 재밌군요.\n거기다 지금 무슨 바보같은 이야기를 하는거죠?,"It's funny that Dragon believes in the afterlife.\nAnd what stupid story are you talking about?",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,18,17,망자의 은신처,주인공,,"순간적으로, 지부장님의 눈빛이 변했다.","At the moment, the manager's eyes changed.",,,ME,,"SET_INFO(SpeechPopupType::ME, _MSG(idx++));"
,18,18,망자의 은신처,드래곤 슬레이어,,바보같다고? 지금 나를 바보라고 한거냐!,Stupid? You called me a stupid?,,,DRAGON_SLAYER,,"SET_INFO(SpeechPopupType::DRAGON_SLAYER, _MSG(idx++));"
,18,19,망자의 은신처,지부장,보통,"당연하죠. 초면입니다만 당신의 존재에 대해선 잘 알고 있습니다.\n빛과 어둠에 배신당한 비운의 드래곤으로, 그 복수를 하기 위해 타락했다죠?","Absolutely. It's a first time, but I'm familiar with your existence.\nWith the tragic dragon betrayed by the light and darkness, it became corrupted to take revenge, right?",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,18,20,망자의 은신처,지부장,보통,"타락해서 기억도 이성도 잃고 모든 걸 잃었는데, 지금 이 상황에서 복수가 된답시고 실실거리고 있다니.","You lost memory and your head when you were corrupted, it's no laughing matter.",,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,18,21,망자의 은신처,지부장,웃음,바보도 보통 바보가 아니군요. 원래 그런 건가요 타락하면서 지능도 잃은 건가요?,What a fool! Did you lose your intelligence as you go bad?,,,MANAGER_NORMAL,,"SET_INFO(SpeechPopupType::MANAGER_NORMAL, _MSG(idx++));"
,18,22,망자의 은신처,드래곤 슬레이어,,이 건방진 인간이!,You cheeky human!,,,DRAGON_SLAYER,,"SET_INFO(SpeechPopupType::DRAGON_SLAYER, _MSG(idx++));"
