TID,KR,EN,TW,JP
childrensDayEventUI_2_27,"최고급 선물 상자, 그랑 세이버 (C~B), 푸딩곤 (C~A), 페르마타 (C~A),\n스페셜 드래곤, Lv-1, 프리미엄 Lv+1, 캡슐 Lv+1, 각성 Lv+1, 스페셜 Lv+1,\n꿈의 부화기+1, 꿈의 부화기, 강철의 망치, 마법의 망치, 랜덤 레어 장식,\n레어 장식 뽑기권, 레어~전설 장식 뽑기권, 발톱 및 깃털 (13~14),\n아르하의 뿔 (10~14), 꿈의 젬 (30~31), 6단계 드링크, 빛의 인장,\n꿈의 정수, 중급 강화의 정수, 초월의 정수, 꿈의 보석, 꿈의 조각","Best quality gift box, Grand savior (C~B), Puddinggon (C~A),\nPerumata C~A, Specail dragon, Lv-1, Prem Lv+1, Capsule Lv+1,\nAwaken Lv+1, Special Lv+1, Dream Incubator, Hammer of steel,\nHammer of magic, Random Rare skin, Skin raffle (R), Skin raffle (R~L),\nClaw & Feather (13~14), Horn of Archa (10~14), Dream's gem (30~31),\nDrink 6s, Light crest, Dream Elixir, Normal Elixir, High Essence, Jewel of Deam, Dream Piece","頂級禮物箱, 大劍(C~B), 布丁龍(C~A), 斐爾瑪塔(C~A), \n特殊龍, Lv-1, 高級 Lv+1, 膠囊 Lv+1, 覺醒 Lv+1, 特殊 Lv+1, 夢幻孵化器+1, 夢幻孵化器, 鋼鐵之錘, 魔法之錘, 隨機稀有裝飾, 稀有裝飾抽取券, 稀有傳說裝飾抽取券, 爪與羽毛（1314）, 阿爾哈之角（1014）, 夢幻寶石（30~31）, 6級飲料, 光之印章, 夢幻精華, 中級強化精華, 超越精華, 夢幻寶石, 夢幻碎片",
childrensDayEventUI_2_28,"그랑 세이버 (A~SS), 푸딩곤 (S~SS), 페르마타 (S~SS),\n킨더 드래곤, 마룡, 디트의 망치, 상급 ~ 최상급 강화의 정수,\n상급 초월의 정수, 꿈의 젬 (32~36), 황금 다이아, 다이아,\n랜덤 전설 장식, 전설 장식 뽑기권, 10+1 뽑기권","Grand savior (A~SS), Puddinggon (S~SS), Perumata (S~SS),\nKinder dragon, Evil Dragon, Hammer of Deet, High~Master Elixir,\nDream's gem (32~36), Golden Diamond, Diamond, Random Legendary skin,\nSkin raffle (L), Skin raffle 10+1","大劍（ASS）, 布丁龍（S~SS）, 斐爾瑪塔 (S~SS), \n金德龍, 魔龍, 迪特之錘, 高級~最高級強化精華, \n高級超越精華, 夢幻寶石（32~36）, 黃金鑽石, 鑽石, \n隨機傳說裝飾、傳說裝飾抽取券、10+1 抽取券",
childrensDayEventUI_2_29,1,1,1,
childrensDayEventUI_2_30,2,2,2,
childrensDayEventUI_2_31,3,3,3,
childrensDayEventUI_2_32,~5,~5,~5,
childrensDayEventUI_2_33,~10,~10,~10,
childrensDayEventUI_2_34,~20,~20,~20,
childrensDayEventUI_2_35,~50,~50,~50,
childrensDayEventUI_2_36,~100,~100,~100,
childrensDayEventUI_2_37,"다이아2000 + 7.0드래곤 선택권(단계, 레벨 선택) + 포인트 충전 10000",2000 Diamonds + 7.0dragon ticket(Phase choice) + Point 10000,鑽石 2000 + 7.0 龍選擇券（階段、等級可選）+ 點數充值 10000,
childrensDayEventUI_2_38,다이아1800 + 20레벨 7.0 드래곤 선택권 + 포인트 충전 6000,"1800 Diamonds + Lv 20, 7.0 dragon ticket + Point 6000",鑽石 1800 + 20 級 7.0 龍選擇券 + 點數充值 6000,
childrensDayEventUI_2_39,다이아1500 + 1레벨 7.0 드래곤 선택권 + 포인트 충전 4000,"1500 Diamonds + Lv 1, 7.0 dragon ticket + Point 4000",鑽石 1500 + 1 級 7.0 龍選擇券 + 點數充值 4000,
childrensDayEventUI_2_40,다이아1000 + 드래곤 선택권 + 포인트 충전 2000,1000 Diamonds + dragon ticket + Point 2000,鑽石 1000 + 龍選擇券 + 點數充值 2000,
childrensDayEventUI_2_41,다이아800 + 각성강화정수 1세트  + 포인트 충전 2000,"800 Diamonds + Elixir set(Normal, Higher, Master) + Point 2000",鑽石 800 + 覺醒強化精華 1 組 + 點數充值 2000,
childrensDayEventUI_2_42,다이아500 + 상급초월의정수 1세트,500 Diamonds + 1 set of high essence,鑽石 500 + 高級超越精華 1 組,
childrensDayEventUI_2_43,"다이아300 + 스페셜 레벨업x20, 레벨다운x20","300 Diamonds + Special Lv + 1 x 20, Lv - 1 x 20",鑽石 300 + 特殊等級提升 x20、等級下降 x20,
childrensDayEventUI_2_44,다이아100 + 레벨다운x20,100 Diamonds + Lv - 1 x 20,鑽石 100 + 等級下降 x20,
childrensDayEventUI_2_45,<yellow>%s</yellow>에서 아이템을 획득했습니다!,You earned item from <yellow>%s</yellow>!,在 <yellow>%s</yellow> 獲得了道具！,
childrensDayEventUI_2_46,포인트로 선물상자 %d개를 구입했습니다.,You bought %d box with your points.,使用點數購買了 %d 個禮物箱。,
childrensDayEventUI_2_47,지금은 선물상자를 판매하지 않습니다.,Gift box is not available right now.,現在不出售禮物箱。,
childrensDayEventUI_3_1,빛의 축제 출석 이벤트,Festival of Light Check-in event,光之慶典簽到活動,
childrensDayEventUI_3_2,%d일차,Day %d,第 %d 天,
childrensDayEventUI_4_1,다이아 & 경험치 2배! + 1.2.3 이벤트,2x diamond & Exp! + 1.2.3 event,鑽石 & 經驗值雙倍！+ 1.2.3 活動,
childrensDayEventUI_4_2,5월 1.2.3 이벤트,May 1.2.3 event,5 月 1.2.3 活動,
childrensDayEventUI_4_3,경험치&다이아 2배,2x Exp&diamonds,經驗值 & 鑽石雙倍,
childrensDayEventUI_4_4,육성 패키지,Raising package,培育禮包,
chooEvent,추석 이벤트 선물입니다.,Event present,活動獎勵,
chooEventMsg,추석 이벤트 선물입니다.<red>\n%s %d개를 선물로 받았습니다.</red>,Gift for Thanksgiving event.<red>\n%s Received %d gifts.</red>,中秋節活動的贈品。<red>\n收到%s %d個作為禮物。</red>,
chooseDifficulty,난이도를 선택하세요.,Choose difficulty.,請選擇難度。,
CHRISTMAS_GET_POINT,축하합니다. <yellow>%d포인트</yellow>를 획득했습니다.,Congratulations. You've got <yellow>%d</yellow> points.,恭喜！獲得了 <yellow>%d 點數</yellow>！,
CHRISTMAS_ORNAMENT_0,일반 장식 구슬,Ornament,普通裝飾珠,
CHRISTMAS_ORNAMENT_1,고급 장식 구슬,Classy Ornament,高級裝飾珠,
CHRISTMAS_ORNAMENT_2,최고급 장식 구슬,Finest Ornament,最高級裝飾珠,
CHRISTMAS_ORNAMENT_TOP_OPEN,%s님이 최고급 장식 구슬에서 %s,%s %s from Finest Ornament.,%s 您從最高級裝飾珠中獲得了 %s,
CHRISTMAS_REMAIN_CNT,%d개 남음,Remain : %d,剩餘 %d 個,
CHRISTMAS_TALK_0,우는 아이에게는 산타 용순이 선물을 안줄거야,"You better watch out, you better no cry.",哭鬧的小孩不會收到聖誕主持人的禮物哦,
CHRISTMAS_TALK_1,메리 크리스마스! 즐거운 성탄절이 되기를!,Merry christmas! I wish you a merry christmas!,聖誕快樂！祝你有個愉快的聖誕節！,
CHRISTMAS_TALK_2,누가 착한 앤지 나쁜 애인지 내가 알아볼거야,Santa is gonna find out who's naughty or nice,我會看看誰是乖孩子，誰是頑皮鬼！,
CHRISTMAS_TALK_3,내가 왔다! 산타 용순!,Santa Yong Soon is coming to Dragon Village!,我來了！我是聖誕主持人！,
CHRISTMAS_TALK_4,장식 구슬을 많이 모았구나? 좋은 결과가 있길!,I wish you good luck!,你收集了很多裝飾珠呢？希望能有好結果！,
chuseok2016EventMsg1,복주머니,Lucky Bag,福袋,
chuseok2016EventMsg2,포인트,Point,點數,
chuseok2016EventMsg3,일정,Schedule,日程,
chuseok2016EventMsg4,포인트 :,Points :,點數：,
chuseok2016EventMsg5,열기,Open,開啟,
chuseok2016EventMsg6,"하단 게이지는 매일 초기화 되며, 적립된 포인트는 사라지지 않고 누적됩니다.","The guage is initialized daily, but the acquired points are accumulated.",下方的計量條每天重置，但累積的點數不會消失，將持續累積。,
chuseok2016EventMsg7,거래게시판,Trading forum,交易公告板,
chuseok2016EventMsg8,복주머니,Lucky Bag,福袋,
chuseok2016EventMsg9,결제 시\n황금 다이아 2배,Upon purchase\n2 x Golden Diamonds,支付時\n黃金鑽石雙倍,
chuseok2016EventMsg10,이클리프 주사위\n운 확률 UP,Eclif Dice\nFortune UP,伊克利夫的骰子\n運氣機率提升,
chuseok2016EventMsg11,경험치 2배,2X EXP,經驗值雙倍,
chuseok2016EventMsg12,카드 코드 수집,Collect Card Codes,卡片代碼收集,
chuseok2016EventMsg13,일일 접속,Daily Log in,每日登入,
chuseok2016EventMsg14,꿈의 지역 탐험,Explore Dream region,夢幻區域探險,
chuseok2016EventMsg15,콜로세움\nSOLO참여,Collosseum\nSOLO participation,競技場\nSOLO 參與,
chuseok2016EventMsg16,콜로세움\nTAG참여,Collosseum\nTAG participation,競技場\nTAG 參與,
chuseok2016EventMsg17,도전의 전장참여,Challenge field participation,挑戰戰場參與,
chuseok2016EventMsg18,,,,
chuseok2016EventMsg19,이벤트가 종료 되었습니다.,The event has ended.,活動已結束。,
chuseok2016EventMsg20,포인트 및 아이템이 부족합니다.,Not enough points or items.,點數及道具不足。,
CLEAR_GAME_STORAGE,드래곤빌리지 앱의 저장공간에 있는 데이터를 지워 주세요.,Please clear the data in Dragon Village app's storage.,請清除《龍之村》應用程式存儲空間中的數據。,
CLIPBOARD_MSG,클립보드에 저장되었습니다.,Text has been copied to clipboard.,已儲存至剪貼簿。,
codeCompleteMsg,<red>%s</red> 코드 변환 완료\n코드리스트에서 확인,Converting <red>%s</red> success.\nCheck in 'code' tab.,<red>%s</red> 代碼轉換完成\n請在代碼列表中確認。,
codeCreateMsg,<red>%s</red>을(를) 코드로 변환 시키겠습니까?\n <red>다이아10개</red> 소모\n(네트워크 상태가 안정적일 때 변환해주세요.),Convert <red>%s</red> to egg code.\n Costs <red>10 Diamonds</red>\n(Make sure your network connection is stable.),是否將 <red>%s</red> 轉換為代碼？\n <red>消耗10顆鑽石</red>\n（請在網絡狀態穩定時進行轉換。）,
codeCreateMsg_2,<red>%s</red>을(를) 코드로 변환 시키겠습니까?\n <red>다이아10개</red> 소모\n(네트워크 상태가 안정적일 때 변환해주세요.),Convert <red>%s</red> to code.\n Costs <red>10 Diamonds</red>\n(Make sure your network connection is stable.),是否將 <red>%s</red> 轉換為代碼？\n <red>消耗10顆鑽石</red>\n（請在網絡狀況穩定時進行轉換。）,
coin_buy_msg,코인 %d개를 %d다이아로 구매하겠습니까?,Do you want to buy %d coins as %d Diamonds?,是否以 %d 顆硬幣購買 %d 顆鑽石？,
coin_buy_msg2,%d개의 코인을 구매하였습니다.,Buy %d coins.,已購買 %d 個硬幣。,
COLLECTION_CONFIRM_MAIN_TEXT,드래곤을 등록하면 드래곤은 컬렉션에 귀속 되며\n다시 회수할 수 없습니다. 등록하시겠습니까?,The registered dragon is can't be retrived.\nWould you like to register?,註冊龍後，龍將歸屬於收藏，\n無法再次回收。您確定要註冊嗎？,
COLLECTION_CONFIRM_SUB_TEXT,[드래곤이 장식 / 젬 / 정령을 착용하고 있으면\n아이템이 사라질 수 있습니다.],"[If Dragon is wearing Skin, Gem, Spirit,\nthe equipped item may disappear.]",[如果龍已穿戴裝飾 / 寶石 / 精靈，\n道具可能會消失。],
COLLECTION_CONFIRM_UNEQUIP,착용 해제하기,Unequip All,解除穿戴,
COLLECTION_INFO_MAIN,"- 컬렉션은 조건에 맞는 드래곤, 드래곤의 알을 등록하여\n  컬렉션을 완성하면 추가 영구 능력치를 얻는 시스템 입니다.\n\n- 드래곤은 드래곤의 종류, 마리수, 단계, 레벨, 등급의 조건이 있습니다.\n\n- 등록한 드래곤은 다시 회수할 수 없으며 계정에 등록됩니다.\n\n- 드래곤이 착용한 젬, 장식, 정령은 사라집니다. 아이템을 해지 해주세요.","- Register a dragon or egg that meets the conditions and\n  get an additional status permanently.\n\n- Conditions include the kind of dragon, quantity,\n  step, lever, grade.\n\n- Registered dragons cannot be retrieved again.\n\n- Gem, Skin, Spirit worn by dragon are disappear. Please unequip the item.",收藏系統是通過註冊符合條件的龍和龍蛋來完成收藏，\n 完成收藏後將獲得額外的永久屬性加成。\n\n- 龍的註冊有種類、數量、階段、等級和品級等條件。\n\n- 註冊的龍無法再次回收，並將註冊到帳戶中。\n\n- 龍所穿戴的寶石、裝飾和精靈將會消失，請解開裝備。,
COLLECTION_INFO_TITLE,* 컬렉션 시스템,* Collection System,*收藏系統,
COLLECTION_SHORTAGE_COST,장비 해제를 위한 비용이 부족합니다.,Not enough charge to unequip the items.,解除裝備所需的費用不足。,
COLLECTION_STAT_0,체력,Hp,體力,
COLLECTION_STAT_1,공격력,Attack,攻擊力,
COLLECTION_STAT_2,방어력,Defense,防禦力,
COLLECTION_STAT_3,크리티컬 확률,Critical,暴擊機率,
COLLECTION_STAT_4,회피율,Evasion,閃避率,
colo_defeat,토너먼트에서 탈락하였습니다.,Knocked out from the tournament.,你在錦標賽中被淘汰。,
colo_roundNoMinus,비정상적인 드래곤 수치로 인하여\n접속이 제한됩니다.,Connecting restricted\n due to abnormal dragon stats,由於發現異常神龍數值，\n現拒絕進行連接。,
colosseum_again_text1,상대방과 다시 대전하시겠습니까?,Would you like to fight again?,是否要與對方重新對戰？,
colosseum_again_text2,연결 중...,Connecting...,連接中...,
colosseum_again_text3,대기 중...,Waiting...,等待中...,
colosseum_again_text4,연결 실패,Connection failed,連接失敗,
colosseum_all,전체,All,全球排名,
colosseum_all_pub,港台排名,港台排名,港台排名,
colosseum_book,도감,Book,圖鑑,
colosseum_defeat,랭킹 포인트 %d점을 획득하였습니다.,Received %d ranking point.,獲得排名積分 %d分。,
colosseum_victory,승리하여 %d연승을 달성하였습니다. 랭킹 포인트 %d점을 획득하였습니다.,Victory!! %d winning streak. Received %d ranking point.,勝利。達成%d連勝。\n獲得排名積分 %d分。,
colosseum_week,주간,Weekly,全球每週,
colosseum_week_pub,港台每週,港台每週,港台每週,
colosseumEnter,콜로세움에 입장하였습니다. 도전자를 기다립니다.,You have entered the Colosseum. Waiting for a challenger.,進入了競技場。等待挑戰者中。,
colosseumFight1,%s의 공격!!  %d의 데미지를 주었습니다.,%s's attack!!  Inflicted %d damage.,%s的攻擊!! 給予對方 %d 點的傷害。,
colosseumFight2,%s의 치명적인 공격!!  %d의 데미지를 주었습니다.,%s's critical attack!!.  Inflicted %d damage.,%s的致命一擊!! 給予對方 %d 點的傷害。,
colosseumFight3,%s의 공격을 방어하여  %d의 데미지를 주었습니다.,Blocked %s's attack.  Inflicted %d damage.,%s的攻擊被擋下了!! 給予對方 %d 點的傷害。,
colosseumFight4,%s의 공격을 회피하여  %d의 데미지를 주었습니다.,%s's attack missed.  Inflicted %d damage.,%s的攻擊被躲開了!! 給予對方 %d 點的傷害。,
colosseumFight5,%s의 치명적인 공격을 회피하여  %d의 데미지를 주었습니다.,%s's critical attack missed.  Inflicted %d damage.,%s的致命一擊被躲開了!! 給予對方 %d 點的傷害。,
colosseumFight6,%s의 치명적인 공격을 방어하여  %d의 데미지를 주었습니다.,Blocked %s's critical attack.  Inflicted %d damage.,%s的致命一擊被擋下了!! 給予對方 %d 點的傷害。,
colosseumFight7,%s의 공격!!  %d의 데미지를 입었습니다.,%s's attack!!  Took %d damage.,%s的攻擊!!  受到%d點的傷害。,
colosseumFight8,%s의 치명적인 공격!!  %d의 데미지를 입었습니다.,%s's critical attack!!  Took %d damage.,%s的致命一擊!!  受到%d點的傷害。,
colosseumFight9,%s이(가) 공격하였으나 공격을 방어하여  %d의 데미지를 입었습니다.,Blocked %s's attack.  Took %d damage.,成功擋下%s攻擊!!  受到%d點的傷害。,
colosseumFight10,%s이(가) 공격하였으나 공격을 회피하여  %d의 데미지를 입었습니다.,%s's attack missed.  Took %d damage.,成功閃躲%s的攻擊!!  受到%d點的傷害。,
colosseumFight11,%s의 치명적인 공격을 회피하여  %d의 데미지를 입었습니다.,%s's critical attack missed.  Took %d damage.,成功閃躲%s的致命一擊!!  受到%d點的傷害。,
colosseumFight12,%s의 치명적인 공격을 방어하여  %d의 데미지를 입었습니다.,Blocked %s's critical attack.  Took %d damage.,成功擋下%s的致命一擊!!  受到%d點的傷害。,
colosseumFight13,%s의 폭발 스킬!!  %d의 데미지를 주었습니다.,%s's explosive skill.  Gave %d damage.,%s的技能攻擊!! 給予對方 %d 點的傷害。,
colosseumFight14,%s의 폭발 스킬을 회피하여  %d의 데미지를 주었습니다.,%s's explosive skill evaded.  Gave %d damage.,%s的技能攻擊被躲開了!! 給予對方 %d 點的傷害。,
colosseumFight15,%s의 폭발 스킬을 방어하여  %d의 데미지를 주었습니다.,%s's explosive skill blocked.  Gave %d damage.,%s的技能攻擊被擋下了!! 給予對方 %d 點的傷害。,
colosseumFight16,%s의 폭발 스킬!!  %d의 데미지를 입었습니다.,%s's explosive skill!!  Received %d damage.,%s的技能攻擊!!  受到%d點的傷害。,
colosseumFight17,%s의 폭발 스킬을 회피하여  %d의 데미지를 입었습니다.,%s's explosive skill evaded.  Received %d damage.,成功閃躲%s的技能攻擊!!  受到%d點的傷害。,
colosseumFight18,%s의 폭발 스킬을 방어하여  %d의 데미지를 입었습니다.,%s's explosive skill.  Gave %d damage.,成功擋下%s的技能攻擊!!  受到%d點的傷害。,
colosseummacrofailpopup,매크로 방지를 위하여 %d 초 후 입장 가능합니다.,You can enter after %d seconds \n to prevent auto play,%d 秒鐘後，即可入場。,
colosseumquestcomment1,문제를 푸신 후 입장이 가능합니다.,Please solve the problem to enter.,答對問題，即可入場。,
colosseumTrainingEnter,입장시 %d 다이아가 소모됩니다.\n입장하시겠습니까?(%d 보유중),%d dia will be used when you enter.\nDo you want to proceed?(You have %d),進入時將消耗 %d 顆鑽石。\n您確定要進入嗎？（擁有 %d 顆）,
colosseumTrainingNoMoney,"다이아가 부족합니다.\n(%d개 필요, %d개 보유중)",You need %d dia to enter.\n(You have %d),鑽石不足。\n（需要 %d 顆，擁有 %d 顆）,
colosseumTrainingStart,연습 경기가 시작됩니다.,A practice battle begins.,練習賽即將開始。,
combinationSuccess,아이템 조합에 성공하였습니다.,Item Combination success!,道具合成成功!,
combine_cannotmake,더 이상 코드를 생성할 수 없습니다.,Unable to create a code anymore,無法生成代碼。,
combine_code,코드,Code,代碼,
combine_delete,해당 알조각을 삭제하시겠습니까?,Delete the egg?,要刪除此龍蛋碎片嗎？,
combine_getEgg,%s의 알을 획득했습니다.,Received %s's egg.,獲得%s的龍蛋。,
combine_use,사용 완료,Finish,使用完成,
combine_yes,알 조각을 조합하시겠습니까?,Combine eggs?,您要合成龍蛋碎片嗎?,
combineSuccessComment,"조합에 성공하여 ""자양강장제 s""를\n획득하였습니다.",Successful combination.\nYou have received a nutritional drink.,"合成成功，獲得 \n""營養補充劑s""。",
comboNoti,"※알조합으로만 얻을 수 있는 알이 있습니다.\n<gblue>(아이곤, 프로스티, 고대주니어)</gblue>\n※조합에 사용된 알은 사라집니다.",※You get a new egg through combination.\n※Eggs used in the process of combination disappear.,※有些蛋只能通過蛋合成獲得。\n<gblue>（i龍、芙蘿絲緹、古代神龍二世）</gblue>\n※用於合成的蛋將會消失。,
comeToMe,...나에게 와라,...Come to me,...來到我這裡,
COMMON_COUNT,개수,Cnt,數量,
COMMON_DICE_TITLE,주사위 확률,Rate Table,骰子機率,
COMMON_ITEM,아이템,Item,道具,
COMMON_RATE,확률,Rate,機率,
COMMON_RATEINFO,확률정보,Rate Info,機率資訊,
COMMON_RATEINFO_EGG,의문의 알 확률,Rate Table,神祕龍蛋機率,
COMMON_RATEINFO_ENCHANT,장신구 인챈트 확률,Rate Table,飾品附魔機率,
COMMON_RATEINFO_ENCHANT_TITLE1,1.1 ~ 3.0%,,1.1 ~ 3.0%,
COMMON_RATEINFO_ENCHANT_TITLE2,2 ~ 10회차 : 최종결과 0.1 ~ 2.0%,,2 ~ 10次 : 最終結果 0.1 ~ 2.0%,
COMMON_RATEINFO_PULL,일반뽑기확률,Rate Table,一般抽獎機率,
COMMON_RATEINFO_RAID,출현확률,Rate Table,出現機率,
COMMON_RATEINFO_REENCHANT,추가 인챈트 확률,Rate Table,追加附魔機率,
COMMON_TEMPLEITEM_ENCHANT,확률은 증가 가능한 능력치 내에서 동일 확률 당첨됩니다.,,機率是在可增加的屬性範圍內，以相同機率中獎。,
confirmDelete,삭제하시겠습니까?,Would you like to remove?,您確定要刪除嗎?,
congrats,축하합니다. 드래곤의 능력치가 상승하였습니다.,Congratuation! The dragon became stronger!,恭喜！龍的屬性已經提升。,
CONNECTING_SERVER,서버 연결 중입니다.,Connecting to server.,伺服器連接中…,
conqestBlockMsg,정복대기시간 입니다.\n잠시후 이용해주세요!,The conquest of wait time.\nPlease use after a while!,這是征服等待時間。\n請稍後再使用！,
conquest,토벌,Rampage,討伐,
CONQUEST_CONFIRM_INFO,토벌권 %d개를 사용하시겠습니까?,Do you want to use %d Rampage tickets?,您要使用 %d 個討伐權嗎？,
CONQUEST_POPUP_INFO_1,토벌권의 갯수를 지정해주세요.,Set the amount of use of the Rampage ticket.,請指定討伐權的數量。,
CONQUEST_POPUP_INFO_2,[<red>주의</red>:드래곤이 <red>과도하게(2레벨이상)</red> 성장할 수 있습니다.],[<red>Caution</red>: the dragon can <red>grow a lot</red> if you use a lot of tickets.],[<red>注意</red>: 龍可能會過度成長（超過2級）。],
CONQUEST_RESET_CONFIRM,정복 후 재 진행시에는 1층부터 진행됩니다.\n해당 층을 정복 하시겠습니까?,After conquest,征服後重新進行時，將從第 1 層開始。\n確定要征服該層嗎？,
CONQUEST_REWARD_INFO,"아이템, 경험치 %d, 골드 %d 을(를) 획득하였습니다.","Item, %d EXP, %d Gold acquired.",您獲得了道具、經驗 %d 和金幣 %d。,
conquest2,정복,conquest,征服,
conquestEnd,정복종료시간,Conquest End Time,征服結束時間,
conquestEndMsg,정복 랭킹 포인트는 우편함으로 매주 수요일 지급됩니다.,Gained Conquest Rank Points every Wednesday into your mailbox.,征服排名積分將每週三通過郵箱發放。,
conquestExit,나가기,exit,退出,
conquesting,정복중,Being conquered,正在征服中,
conquestLabel,정복자,conqueror,征服者,
conquestNot,정복자 없음,No conqueror,沒有征服者,
conquestTicket,토벌권,Rampage ticket,討伐權,
conquestTicketUse,토벌권을 사용하시겠습니까?\n보유량 : %d,Would you like to use Rampage ticket?\nPossession:%d,您要使用討伐權嗎？\n持有量：%d,
conquestWait,정복대기시간,Conquest Wait Time,征服等待時間,
contItemReceived,<red>축하합니다.\n   \n%s %d개</red>를 얻었습니다.,Congratulations.\n    \nReceived %s %d.,<red>恭喜！\n\n您獲得了 %s %d 個。</red>,
createPrivateRoom,비공개 방을 생성합니다.\n방생성 후 코드를 친구에게 알려주세요.\n방을 생성 하시겠습니까?,Would you like to create a private room?\n(Each room has its own number),將創建一個私人房間。\n創建房間後，請將代碼告訴您的朋友。\n您要創建房間嗎？,
crevass_name,[크레바스],[CREVASS],克雷瓦斯,
criticalInc,크리티컬 확률 증가 +%d%%,Increase critical attack rate by,暴擊機率增加 +%d%%,
crystalShortage,개수가 부족합니다.,Not enough Crystal,數量不足。,
CureAll,전체 치유,ALL CURE,全體治療,
CureAllMsg,골드를 사용하여 모든 드래곤을 치유하시겠습니까?,Would you use gold to heal all your dragons?,您要使用金幣來治療所有龍嗎？,
cured,당신의 드래곤이 행동불능 상태에서 벗어났습니다.,Your dragon has been healed.,您的龍已經脫離了無法行動的狀態。,
cureDragonWar,치유하기,Cure,治療,
cureMsg,치유하기,Cure,治療,
cureNow,지금 즉시 행동 불능에서 벗어 나시겠습니까?,Cure now?,您現在要立即脫離無法行動的狀態嗎？,
cureNowDiamondCost,※다이아 %d개가 소모 됩니다.,※Use %d diamonds.,※將消耗 %d 顆鑽石。,
cureNowMsg,지금 즉시 행동 불능에서 벗어 나시겠습니까?\n%s<red>\n※다이아 </red>%d<red>개가 소모 됩니다.</red>,Would you like to cure now?\n%s<red>\n※Use </red>%d<red> diamonds.</red>,您現在要立即脫離無法行動的狀態嗎？\n%s<red>\n※將消耗 </red>%d<red>顆鑽石。</red>,
curEquip,현재 장착 칭호 :,Current Title :,目前裝備的稱號：,
CURRENCY_DIAMOND,다이아,Diamonds,鑽石,
CURRENCY_GOLD,골드,gold,金幣,
d_type_D,어둠의 속성,Dark Type,暗屬性,
d_type_DA,여명의 속성,Dawn Type,曙光屬性,
d_type_DU,악몽의 속성,Nightmare Type,噩夢屬性,
d_type_E,땅의 속성,Earth Type,土屬性,
d_type_F,불의 속성,Fire Type,火屬性,
d_type_L,빛의 속성,Light Type,光屬性,
d_type_N,황혼의 속성,Dusk Type,黃昏屬性,
d_type_W,물의 속성,Water Type,水屬性,
d_type_w,바람의 속성,Wind Type,風屬性,
d_type_WA,물의 속성,Water Type,水屬性,
d_type_WI,바람의 속성,Wind Type,風屬性,
dark,어둠,Dark,黑暗,
darkNix,다크닉스,Darknix,黑暗尼斯,
darknix_quest_0,1.탐험지역에서 스크롤 찾기,1. Find Scroll in Adventure,1. 在探險區域尋找捲軸,
darknix_quest_4,1.희망의 숲으로 가서 정보얻기,1. Go to Forest of Hope and get intel,1. 前往希望之森並獲取資訊,
darknix_quest_6,"1.바람의 신전 지역까지 보스를 클리어하고, 하늘의신전 제우스 Jr.에게 G스컬에 대한 정보얻기","1. Defeat all the bosses to Wind Temple, defeat Zeus Jr. in Sky Temple and get clues of G skull.",1. 清除風之神殿區域的首領，並從天神殿的宙斯 Jr. 獲取關於 G骷髏 的資訊,
darknix_quest_8,1.불의 산으로 가서 G스컬에 대한 정보얻기,1. Go to Fire Mountain and get intel on G Skull.,1. 前往火焰之山並獲取關於 G骷髏 的資訊,
darknix_quest_10,1.점술집으로 가기,1. Go to Furtune Teller.,1. 前往占卜店,
darknix_quest_12,1.난파선으로 가서 G스컬에 대한 정보얻기,1. Find clues for G skull in Wrecked Ship,1. 前往沉船並獲取關於 G骷髏的資訊,
darknix_quest_14,1.바람의 신전으로 가서 G스컬에 대한 정보얻기,1. Go to Wind Temple and get intel on G Skull.,1. 前往風之神殿並獲取關於G骷髏的資訊,
darknix_quest_16,"1.무지개동산에서 리오넬 골든윙 처치하고, 던전 지역 지하성채로 이동하기",1. Defeat Lionel golden wing in Rainbow and move to Dungeon Castle.,1. 在彩虹山處置里리오넬 골든윙，然後前往地下迷宮區域的地下迷宮堡,
darknix_quest_18,1.지하 던전으로 가기,1. Go to Under Dungeon.,1. 前往地下迷宮,
darknix_quest_19,점술집으로 이동,Go to Spirit Lodge,前往占卜店,
darknix_quest_20_1,하늘의 신전에서 고대신룡의 알을 획득해 부화시켜 월드맵으로 이동하기,"1. Get a God Dragon'egg at Sky Temple,  hatch it and move to World.",在天神殿獲得古代神龍的蛋並孵化後，前往世界地圖,
darknix_quest_20_2,"하늘의 신전에서 1,2,3 단계의 빛의 속성 카드 얻기(%d/3)","2. Get the Light Elements Card 1,2,3 at the Sky Temple (%d/3)",在天神殿獲得1、2、3階段的光屬性卡片（%d/3）,
darknix_quest_20_3,5.캡슐화된 고대신룡으로 지하던전의 다크닉스 잡기,5.Defeat Dark Nix at Dungeon with Capsule God Dragon,5. 用封裝的古代神龍擊敗地下迷宮的黑暗尼斯,
darknix_quest_20_5,"3.점술집 -> 카드조합에서 빛의 속성카드 1,2,3 단계 3장을 조합해서 고대신룡 캡슐 획득하기",3. Get God Dragon's capsuel by merging card at Spirit Lodge,3. 占卜店 -> 在卡片合成中將光屬性卡片的1、2、3階段各3張合成以獲得古代神龍膠囊,
darknix_quest_20_6,4.고대신룡을 Lv35 까지 성장시켜서 동굴->고대신룡 변신캡슐 사용하기,4. Fostering God Dragon up to Lv.35 and use the capsule in the cave,4. 將古代神龍培養至Lv35，然後在洞窟使用古代神龍變身封裝,
