TID,KR,EN,CN,JP,PLD,TW,IND
mission71,초급 던전 탐험가,Dungeon Explorer: Beginner,初級地下城冒險家,初級 ダンジョン探検家,Odkrywca Lochów: Początkujący,初級地下城冒險家,Dungeon Explorer: Beginner
mission72,던전을 100번 탐험한다.,Explore Dungeon 100 times.,冒險地下城100回。,ダンジョンを100回探検する。,Zwiedź Lochy 100 razy.,冒險地下城100回。,Menjelajahi Dungeon 100 kali.
mission73,중급 던전 탐험가,Dungeon Explorer: Intermediate,中級地下城冒險家,中級 ダンジョン探検家,Odkrywca Lochów: Średniozaawansowany,中級地下城冒險家,Dungeon Explorer: Intermediate
mission74,던전을 300번 탐험한다.,Explore Dungeon 300 times.,冒險地下城300回。,ダンジョンを300回探検する。,Zwiedź Lochy 300 razy.,冒險地下城300回。,Menjelajahi Dungeon 300 kali.
mission75,고급 던전 탐험가,Dungeon Explorer: Advanced,高級地下城冒險家,高級 ダンジョン探検家,Odkrywca Lochów: Zaawansowany,高級地下城冒險家,Dungeon Explorer: Advanced
mission76,던전을 500번 탐험한다.,Explore Dungeon 500 times.,冒險地下城500回。,ダンジョンを500回探検する。,Zwiedź Lochy 500 razy.,冒險地下城500回。,Menjelajahi Dungeon 500 kali.
mission77,초급 던전 정복자,Dungeon Conqueror: Beginner,初級地下城征服者,初級 ダンジョン征服者,Zdobywca Lochów: Początkujący,初級地下城征服者,Dungeon Conqueror: Beginner
mission78,던전 보스를 20번 이긴다.,Defeat Dungeon Boss 20 times.,擊敗地下城首領20回。,ダンジョンのボスに20回勝つ。,Pokonaj Władcę Lochów 20 razy.,擊敗地下城首領20回。,Mengalahkan Boss Dungeon 20 kali.
mission79,중급 던전 정복자,Dungeon Conqueror: Intermediate,中級地下城征服者,中級 ダンジョン征服者,Zdobywca Lochów: Początkujący,中級地下城征服者,Dungeon Conqueror: Intermediate
mission8,부화기를 사용하여 알을 10개 부화시켜본다.,Hatched 10 dragon eggs.,用孵化器孵化10個龍蛋。,孵化器を使って卵10個を孵化させてみる。,Wykluł 10 smoczych jaj.,用孵化器孵化10個龍蛋。,Telah menetaskan 10 telur naga.
mission80,던전 보스를 50번 이긴다.,Defeat Dungeon Boss 50 times.,擊敗地下城首領50回。,ダンジョンのボスに50回勝つ。,Pokonaj Władcę Lochów 50 razy.,擊敗地下城首領50回。,Mengalahkan Boss Dungeon 50 kali.
mission81,고급 던전 정복자,Dungeon Conqueror: Advanced,高級地下城征服者,高級 ダンジョン征服者,Zdobywca Lochów: Początkujący,高級地下城征服者,Dungeon Conqueror: Advanced
mission82,던전 보스를 100번 이긴다.,Defeat Dungeon Boss 100 times.,擊敗地下城首領100回。,ダンジョンのボスに100回勝つ。,Pokonaj Władcę Lochów 100 razy.>,擊敗地下城首領100回。,Mengalahkan Boss Dungeon 100 kali.
mission83,아이 쇼핑,Window Shopping,貨比三家,ウィンドウショッピング,Turysta w sklepie,貨比三家,Eye Shopping
mission84,아이템을 구입하지 않고 연속해서 상점 10번 출입,Enter any shop 10 times straight without buying.,連續進入商店10回，但不購買任何物品,アイテムを買わず10回連続で商店出入り,Wejdź do jakiegokolwiek sklepu 10 razy bez kupowania czegokolwiek.,連續進入商店10回，但不購買任何物品,Masuk toko apapun 10 kali berturut-turut tanpa pembelian.
mission85,드빌 매니아,Dragon Village Enthusiast,神龍部落愛好者,ドラビレマニア,Maniak Dragon Village,神龍部落愛好者,Mania Dragon Village
mission86,게임 500번 실행,Played 500 times.,啟動遊戲500回,ゲーム500回実行,500 rozgrywek.,啟動遊戲500回,Telah bermain 500 kali.
mission87,드빌 중독자,Dragon Village Fan,神龍部落狂熱者,ドラビレ中毒者,Uzależniony od Dragon Village,神龍部落狂熱者,Dragon Village Addict
mission88,하루에 게임 20번 실행,Played game 20 times in one day.,一天啟動遊戲20回,1日にゲーム20回実行,Zagrał w Dragon Village 20 razy w ciągu 1 dnia.,一天啟動遊戲20回,Telah bermain 20 kali dalam sehari.
mission89,평화 주의자,Peace Keeper,和平主義者,平和主義者,Pacyfista,和平主義者,Peace Keeper
mission9,최고급 드래곤 브리더,Dragon Breeder: Expert,最高級神龍育種者,最高級 ドラゴンブリーダー,Hodowca Smoków: Ekspert,最高級神龍育種者,Dragon Breeder: Expert
mission90,탐험에서 몬스터로 부터 30번 도망친다.,Run away from monster during adventure 30 times.,在戰鬥中逃走30回。,探検でモンスターから30回逃げる。,W czasie przygody ucieknij przed potworami 30 razy,在戰鬥中逃走30回。,Kabur dari monster selama petualangan 30 kali.
mission91,유혹 참기,Wrestle with temptation,忍住誘惑,誘惑に我慢する,Człowiek wyrzeczenia,忍住誘惑,Wrestle with temptation
mission92,보물상자를 24시간 방치한다.,Do not open Treasure Box for 24 hours.,擱置寶物箱子24個小時,宝物箱を24時間放置する。,Nie otwieraj Skrzyni ze Skarbem przez 24 godziny.,擱置寶物箱子24個小時,Jangan membuka Kotak Harta Karun untuk 24 jam.
mission93,탐험 보스 킬러,Adventure Boss Killer,首領殺手,探検ボスキラー,Pokonaj bossa,首領殺手,Adventure Boss Killer
mission94,탐험을 통해 보스를 200번 이긴다.,Defeat boss 200 times during adventure.,通過冒險擊敗首領200回。,探検を通してボスに200回勝つ。,W czasie przygody pokonaj bossa 200 razy,通過冒險擊敗首領200回。,Mengalahkan boss 200 kali selama petualangan.
mission95,조합의 발견,Founder of Egg combination,發現合成,組み立ての発見,Odkrywca kombinacji jaj.,發現合成,Founder of Egg combination
mission96,알 조합에 성공한다.,Successed at Egg Combination,龍蛋合成成功。,卵の組み立てに成功する。,Odniósł sukces w krzyżowaniu jaj.,龍蛋合成成功。,Berhasil mengkombinasikan Telur.
mission97,도감도 완성도 132(33마리) 달성,Completion of Book: 132,圖鑑完成度達到132(33隻),図鑑図の龍33匹の収集,Odblokuj w Księdze 33 obrazy smoków,圖鑑完成度達到132(33隻),Kumpulkan 33 dragon images di Book
mission98,도감도 완성도 수치를 132(33마리) 이상으로 만든다.,Open 132 boxes in the book.,圖鑑完成度超過132(33隻)。,図鑑図の龍33匹すべてを成体段階まで成長させる。,Wyhoduj do pełnej dorosłości 33 smoki z Księgi.,圖鑑完成度超過132(33隻)。,Membesarkan 33 naga pada buku sampai tumbuh sepenuhnya.
mission99,희망의 숲 정복,Conquer Forest of Hope,征服盼望森林,希望の森征服,Podbij Las Nadziei.,征服盼望森林,Conquer Forest of Hope
monsterAttackBlocked,%s의 공격을 방어하여\n%d의 데미지를 입었다.,Blocked %s's attack\nTook %d damage.,格擋%s的攻擊\n受%d傷害。,Blocked %s's attack\nTook %d damage.,Zablokowałeś atak %s \nZadał %d obrażeń.,格擋%s的攻擊\n受%d傷害。,Serangan %s ditahan\nMenerima %d damage.
monsterAttackCritical,급소에 맞았다!!\n%d의 데미지를 입었다.,Critical hit!!\nTook %d damage.,致命的一擊!!\n受%d的傷害。,Critical hit!!\nTook %d damage.,Atak krytyczny!!\nZadał %d obrażeń.,致命的一擊!!\n受%d的傷害。,Serangan kritis!!\nMenerima %d damage.
monsterAttackDodge,%s의 공격을 피했다.,Dodged %s's attack.,閃躲%s的攻擊。,Dodged %s's attack.,%s`s zrobił unik przed Twoim atakiem.,閃躲%s的攻擊。,Menghindari serangan %s.
monsterAttacked,%s\n%d의 데미지를 입었다.,%s\nTook %d damage.,%s受%d的傷害。,%s\nTook %d damage.,%s\nZadał %d obrażeń.,%s受%d的傷害。,%s\nMenerima %d damage.
monsterFightComment,어떻게 하시겠습니까?\n몬스터의 능력치를 잘 보고 결정하세요.,What would you like to do?\nDecide after evaluating\nthe monster's stats carefully.,您要怎麼對付?\n請仔細考慮怪物屬性。,どうしますか？\nモンスターの能力値をもとに\n決めてください。,Co chciałbyś zrobić?\nDokonaj ostrożnego wyboru po\nsprawdzeniu statystyk potworów.,您要怎麼對付?\n請仔細考慮怪物屬性。,Apa yang ingin kamu lakukan?\nPilihlah dengan hati-hati setelah\nmengecek status monster.
moveToChargeCash,캐쉬 충전 화면으로 이동하시겠습니까?,Move to cash charge screen?,是否前往儲值頁面？,,Przejść do sklepu?,是否前往儲值頁面？,Pindah ke layar cash?
needMoreDragons,사용 가능한 용이 더 필요합니다.,You need more dragons(Lv. 20+),需要更多可使用的神龍。,You need more dragons(Lv. 20+),Potrzebujesz więcej smoków (poziom 20+),需要更多可使用的神龍。,Kamu butuh naga lebih banyak (lv. 20+)
needTicket,"참가하기 위해서는 티켓이 필요합니다.\n티켓을 구매하시겠습니까?\n(다이아 보유수: %d개, 가격:다이아 1개)","You need a tournament ticket to enter.\nWould you like to purchase the ticket?\n(Your diamonds: %d, Cost:1 diamond)",需要入場券。\n是否購買入場券？\n( 持有鑽石：%d個，價格：鑽石 1個 ),"入場するためにチケットが必要です。\n チケットを購入しますか?\n( 所持ダイヤ: %d, コスト:1 ダイヤ","Potrzebujesz biletu aby wejść.\nProszę, kup bilet w sklepie.",需要入場券。\n是否購買入場券？\n( 持有鑽石：%d個，價格：鑽石 1個 ),Kamu butuh tiket untuk masuk.\nBiaya: 1 diamond
networkError,서버에 접근 할 수 없습니다.\n네트워크를 확인하시고 다시 시도하여 주시기 바랍니다.,Cannot connect to server.\nPlease check your network connection and try again.,無法與伺服器連接。\n請您確認網路狀態後重新連接。,サーバーに接続できません。\nネットワーク状態を確認した上、再試行してください。,Nie można połączyć się z serwerem.\nProsimy sprawdzić stan swojego połączenia z internetem i spróbować ponownie.,無法與伺服器連接。\n請您確認網路狀態後重新連接。,Tidak dapat akses ke server.\nSilahkan memeriksa koneksi jaringan dan mencoba lagi.
networkError1,클라이언트 또는 서버에 문제가 생겨 데이터를 처리하지 못했습니다.\n잠시 후 다시 시도해주세요.,Unknown Error. \n Please try again.,,,,,
networkError2,네트워크 에러,Network Error,網路錯誤！,ネットワークエラー,Błąd sieci,網路錯誤！,Jaringan terganggu
networkError3,네트워크 오류로 인해 데이터가 정상적으로\n전송되지 않았습니다.\n3G/4G/Wi-Fi 연결을 확인 하신 후\n다시 실행해 보시기 바랍니다.,Data loading failed because of\nnetwork connection error.\nPlease check your 3G/4G/Wi-Fi connection\nand try again.,網路錯誤，資料傳送失敗。\n請您確認 3G / 4G / Wi-Fi 連線狀態後，\n再重新連接。,ネットワークエラーによりデータが正常的に\n伝送されませんでした。\n３G/4G/Wi-Fiがつながっているかどうか確認した上\nやり直してください。,Ładowanie danych nie powiodło się z powodu\nbłędów w połączeniu z internetem.\nProsimy o sprawdzenie swojego połączenia 3G/4G/Wi-Fi\ni ponowienie próby.,網路錯誤，資料傳送失敗。\n請您確認 3G / 4G / Wi-Fi 連線狀態後，\n再重新連接。,Loading data gagal karena koneksi jaringan terganggu.\nSilakan memeriksa koneksi 3G/4G/Wi-Fi\ndan coba lagi.
networkError4,네트워크 연결에 실패하였습니다.\n네트워크 연결상태를 확인 하시고 다시 실행해 주세요.,Failed to connect to network.\nPlease check your network connection and try again.,網路連接失敗。\n請您確認網路連線狀態，重新進行連接。,ネットワークに接続できませんでした。\nネットワーク接続の状態を確認した上やり直してください。,Nie można połączyć się z siecią.\nProsimy o sprawdzenie stanu swojego połączenia z internetem i spróbować ponownie.,網路連接失敗。\n請您確認網路連線狀態，重新進行連接。,Koneksi jaringan gagal.\nSilahkan memeriksa ulang koneksi jaringan dan coba lagi.
networkError5,네트워크 환경이 원활하지 않습니다.\n다시 시도하시겠습니까?,Network is disconnected.\nTry again?,,,Sieć jest odłączony.\n Spróbuj ponownie?,,
next,다음,Next,下一個,次へ,Następny,下一個,Next
nickName,Nickname(별명),Nickname,Nickname(暱稱),ニックネーム,Pseudonim,Nickname(暱稱),NickName
nickNameTooLong,닉네임이 너무 깁니다.,Your nickname is too long.,暱稱過長。,Your nickname is too long.,Twój nick jest za długi.,暱稱過長。,Nickname kamu terlalu panjang.
noBlackIncuvator,정화된 검은 부화기가 없습니다.,Need Dark Incubator.,沒有淨化黑色孵化器。,Need Dark Incubator.,Potrzebujesz Mroczny Inkubator.,沒有淨化黑色孵化器。,Membutuhkan Dark Incubator.
noComboRandomEgg,조합에서 찾을 수 없어 무작위로 뽑은 결과\n,No combinations found.\n,合成目錄中沒有找到相配的組合，系統隨機抽取,組み立てで見つからなかったためランダムで引いた結果\n,"Nie było zgadzającej się kombinacji, więc po losowaniu.\n",合成目錄中沒有找到相配的組合，系統隨機抽取,"Karena tidak ada kombinasi yang tepat,telur dipilih secara acak.\n"
noComboRandomEgg1,조합에서 찾을 수 없어 무작위로 뽑은 결과\n%s의 알을 획득 하였습니다.,Combo not found but received \n%s's egg by random.,合成目錄中沒有找到相配的組合，系統隨機抽取。\n結果，您獲得%s的龍蛋。,Combo not found but received \n%s's egg by random.,Nie odnaleziono takiego połączenia ale otrzymujesz \n%s jajo losowo.,合成目錄中沒有找到相配的組合，系統隨機抽取。\n結果，您獲得%s的龍蛋。,Kombinasi tidak ditemukan tetapi menerima \n%s's telur secara random.
noDragon,드래곤이 1마리 이상은 꼭 필요합니다.,You must have at least one dragon.,您必須持有一條以上的神龍。,１匹以上のドラゴンが必ず必要となります。,Musisz mieć przynajmniej jednego smoka.,您必須持有一條以上的神龍。,Anda wajib mempunyai minimum 1 naga.
noDragonGem,당신은 아직 드래곤이 없어 보석을 사용할 수 없습니다.,You don't have a dragon to use the gem(s).,您尚未持有神龍，無法使用寶石。,あなたはまだドラゴンを持っていないため\n宝石を使用できません。,"Nie masz smoka, który mógłby użyć tego diamentu",您尚未持有神龍，無法使用寶石。,Anda tidak mempunyai naga untuk menggunakan permata.
noDragonItem,당신은 아직 드래곤이 없어 아이템을 사용할 수 없습니다.,You don't have a dragon to use the item(s).,您尚未持有神龍，無法使用物品。,あなたはまだドラゴンを持っていないため\nアイテムを使用できません。,"Nie masz smoka, który mógłby użyć tego diamentu",您尚未持有神龍，無法使用物品。,Anda tidak mempunyai naga untuk menggunakan item.
noDragonToEatFood,음식을 먹을 수 있는 드래곤이 없습니다.,There is no dragon to eat food.,您尚未持有可餵食的神龍。,食べ物を食べられるドラゴンがいません。,"Nie ma smoka, którego mógłbyś nakarmić.",您尚未持有可餵食的神龍。,Tidak ada naga untuk makan.
noFriends,친구 리스트가 없습니다.,You have no friends.,沒有好友名單。,You have no friends.,Nie masz żadnych znajomych.,沒有好友名單。,Kamu tidak memiliki teman.
noGemSlot,젬 슬롯이 부족하여 사용할 수 없습니다.,There is no empty gem slot.,寶石孔不足，無法使用。,宝石のスロットが足りないため使用できません。,Nie ma wolnego slotu na diamenty.,寶石孔不足，無法使用。,Tidak ada slot permata yang kosong.
noHonor,선택된 칭호 없음,No Title,沒有選擇稱號,No Title,Bez tytułu,沒有選擇稱號,Pilih Title
noKey,고대 열쇠가 없어 상자를 열 수가 없습니다.,You don't have the ancient key for open the box,沒有神秘鑰匙，無法打開箱子。,古代の鍵がないため箱を開けられません。,Aby otworzyć skrzynię\nmusisz mieć starożytny Klucz (możesz go kupić w sklepie lub znaleźć).,沒有神秘鑰匙，無法打開箱子。,Kamu tidak memiliki ancient key\nsehingga kamu tidak bisa membuka box.
noKey2,암흑 열쇠가 없어 상자를 열 수가 없습니다.,Can't open the box because\nyou don't have the key.,沒有黑暗鑰匙，無法打開箱子。,闇の箱の鍵がないので箱を開けることができません。,"Nie masz klucza, który\n pasuje do tej skrzyni.",沒有黑暗鑰匙，無法打開箱子。,Tidak bisa membuka box karena kamu\ntidak mempunyai kunci.
noPortalMsg,<lightbrown>고대 포탈</lightbrown>이 없습니다.\n고대 포탈을 연뒤 탐험에 주세요.,No <lightbrown>Ancient Portal</lightbrown>.\nPlease explore after opening ancient portal.,沒有<lightbrown>古代傳送門</lightbrown>。\n請您打開古代傳送門後繼續冒險。,No <lightbrown>Ancient Portal</lightbrown>.\nPlease explore after opening ancient portal.,Nie masz <lightbrown>Starożytnego Portalu</lightbrown>.\nProszę przeszukaj półwysep aby go znaleźć.,沒有<lightbrown>古代傳送門</lightbrown>。\n請您打開古代傳送門後繼續冒險。,Kamu membutuhkan<lightbrown>Time Portal</lightbrown>.\nKamu bisa membelinya di wandering merchant.
noRaid,참여 가능한 레이드가 없습니다.,No raids available.,沒有可參與的團隊戰鬥。,No raids available.,Jeszcze nie pojawiły się nowe RAID`y .,沒有可參與的團隊戰鬥。,Tidak ada raid.
notCorrectFoodComment,당신의 드래곤에게 <lightbrown>%s</lightbrown>(을)를 주었지만\n입맛에 맞지 않는지 <red>먹지 않습니다.</red>\n당신의 드래곤의 입맛에 맞는 음식을 주세요.,You gave <lightbrown>%s</lightbrown> but\n dragon <red>doesn't like it.</red>\nGive dragon the food it likes.,您將<lightbrown> %s </lightbrown>餵給神龍，\n但牠<red>不願意吃</red>……\n請您餵給神龍吃牠喜愛的東西。,You gave <lightbrown>%s</lightbrown> but\n dragon <red>doesn't like it.</red>\nGive dragon the food it likes.,"Dałeś swojemu smokowi <red>%s</red>, ale nie podoba mu się <lightbrown>i go nie je</lightbrown>.\nDaj swojemu smoku jedzenie, które mu smakuje.",您將<lightbrown> %s </lightbrown>餵給神龍，\n但牠<red>不願意吃</red>……\n請您餵給神龍吃牠喜愛的東西。,Kamu memberi naga kamu <lightbrown>%s</lightbrown>\ntapi dia tidak menyukainya <red>\ndan tidak memakannya</red>
notEnoughCash,다이아가 부족합니다.,Not enough Diamond,鑽石不足。,ダイヤが不足です。,Brak wystarczającej ilości diamentów.,鑽石不足。,Diamond tidak cukup.
notEnoughFatigue,<red>피로도</red>가 부족합니다.\n피로도는 3분에 1씩 충전됩니다.\n \n<lightbrown>에너지드링크</lightbrown>를 구입하러 <red>상점</red>으로 이동하시겠습니까?,Not enough <red>Fatigue</red>\nRecovers every 3 minutes.,<red>疲勞度</red>不足。\n疲勞度每3分鐘恢復1點。,Not enough<red>Fatigue</red>\nRecovers every 3 minutes.,Wskaźnik <red>Zmęczenia</red> jest zbyt niski.\nWskaźnik zwiększa się o 1 co każde 3 minut.,<red>疲勞度</red>不足。\n疲勞度每3分鐘恢復1點。,Kadar <red>Fatigue</red> rendah sekali.\nFatigue bertambah 1 setiap 3 menit.
notEnoughFight,전투를 하기에는 다이아가 모자랍니다.,Not enough Diamond for battle,鑽石不足，無法戰鬥。,Not enough diamonds.,Nie posiadasz odpowiedniej ilości diamentów do odbycia tej walki,鑽石不足，無法戰鬥。,Diamond tidak cukup untuk pertarungan
notEnoughGold,골드가 부족합니다.,Not enough Gold,金幣不足。,ゴールドが不足しています。,Nie masz wystarczającej ilości złota.,金幣不足。,Kamu tidak mempunyai Gold yang cukup
notEnoughGold2,강화에 필요한 골드가 부족합니다.,Not enough Gold to upgrade.,金幣不足，無法進行強化。,強化に必要なゴールドが不足しています。,Za mało złota na usprawnienie.,金幣不足，無法進行強化。,Gold tidak cukup untuk diupgrade.
notEnoughItem,조합하기에는 아이템 갯수가 부족합니다.,Not enough items to combine.,物品不足，無法進行強化。,調合するにはアイテムの数が足りません。,Brakuje Ci przedmiotów do kombinacji.,物品不足，無法進行強化。,Tidak mempunyai item yang cukup untuk combine.
notExist,없음,Not exist,無,None,Żaden,無,Null
nothing,해가 질때까지 돌아다녔지만 아무것도 찾지 못했다.,You explored until sunset but found nothing.,夕陽快下山，仍一無所獲。,日が沈むまで歩き回ったけど何も手に入らなかった。,"Eksplorowałeś aż do zachodu słońca, ale wróciłeś z pustymi rękoma.",夕陽快下山，仍一無所獲。,"Kamu menjelajah sampai matahari terbenam, tetapi tidak menemukan apa pun."
notHungry,드래곤이 배가불러 먹지 않습니다.,Your dragon is not hungry.,神龍已吃飽飯，不想進食。,ドラゴンが腹いっぱいで食べません。,Twój smok nie jest głodny.,神龍已吃飽飯，不想進食。,Naga Anda tidak lapar.
notMondy,인챈트에 필요한 골드가 부족합니다.,Need more gold for enchant,金幣不足，無法進行強化。,Need more gold for enchant,Potrzebne jest więcej Golda do rzucenia zaklęcia.,金幣不足，無法進行強化。,Gold tidak cukup untuk enchant
notSameSide,상대 진영에서는 자신의 랭크가 표시되지 않습니다.,Your ranking can not be seen in the opponent's encampment.,使敵方陣營無法觀看您的排名。,相手の陣営には自分のランクが表示されません。,Twój ranking jest niewidoczny w obozowisku przeciwnika.,使敵方陣營無法觀看您的排名。,Ranking kamu tidak bisa dilihat di perkemahan lawan.
notStunned,당신의 드래곤이 행동불능 상태가 아닙니다.,Your dragon is not injured.,您的神龍沒有禁止行動。,あなたのドラゴンは行動不能の状態ではありません。,Twój smok nie jest ranny..,您的神龍沒有禁止行動。,Naga Anda tidak dicederai.
noWarCost,전쟁에 참여하기에는 다이아가 부족합니다.\n(다이아 %d개 필요),Not enough diamonds to register for war.\n(Need %d diamonds),鑽石不足，無法參與戰爭。\n(需要%d個鑽石),Not enough diamonds to register for war.\n(Need %d diamonds),Nie posiadasz wystarczającej ilości \ndiamentów aby rozpocząć wojnę.\n(Potrzeba %d diamentów),鑽石不足，無法參與戰爭。\n(需要%d個鑽石),Diamond tidak cukup untuk mendaftar war.\n(Memerlukan %d diamond)
numRetaining,보유: %d개,Owned: %d,,,,,
observe,동굴,Cave,洞穴,洞窟に行く,Wizyta,洞穴,Kunjungi
octopusPoison,먹물 액기스,Ink Solution,毒性墨水,墨汁エキス,Atramentowy Roztwór,毒性墨水,Ink Solution
ok,확인,OK,確認,確認,OK,確認,OK
onlyOneDragon,승천 할 수 있는 용이 한마리 밖에\n없어 승천 할 수 없습니다.,You cannot ascend the last dragon.,您不能放生您唯一的神龍！,You cannot ascend the last dragon.,Nie możesz uwolnić ostatniego smoka.,您不能放生您唯一的神龍！,Kamu tidak dapat ascend naga terakhir.
openPortal,고대 포탈을 연뒤 탐험해 주세요.,Open the Ancient Portal and explore.,請您打開古代傳送門後繼續冒險。,古代のポータルを利用して探索してください。,Otwórz Portal Czasu i zwiedzaj.,請您打開古代傳送門後繼續冒險。,Membuka Time portal dan menjelajahi.
openPortalMsg,"<lightbrown>고대 포탈</lightbrown>이 없습니다.\n다이아로 대체하시겠습니까?\n(현재:%d개, 필요:%d개)","No <lightbrown>Ancient Portal</lightbrown>.\nUse diamonds?\n(Have: %d, Need:%d)",沒有<lightbrown>古代傳送門</lightbrown>。\n請您打開古代傳送門後繼續冒險。,"No <lightbrown>Ancient Portal</lightbrown>.\nUse diamonds?\n(Have: %d, Need:%d)","No <lightbrown>Starożytny Portal</lightbrown>.\nUżyć diamentów?\n(Posiadasz: %d, Potrzebujesz:%d)",沒有<lightbrown>古代傳送門</lightbrown>。\n請您打開古代傳送門後繼續冒險。,"Tidak ada <lightbrown>Ancient Portal</lightbrown>.\nApakah kamu mau menggantinya dengan diamond?\n(Current:%d, Need:%d)"
openPotalCash,다이아가 부족합니다.\n캐쉬 충전 화면으로 이동하시겠습니까?,Not enough Diamonds.\nMove to cash charge screen?,,ダイヤが不足です。\nキャッシュを充電しますか？,Brak wystarczającej ilości diamentów.\nPrzejść do sklepu?,,Diamond tidak cukup.\nPindah ke layar cash?
optionBtnBGM,BGM,BGM,,,,,
optionBtnVibration,진동,Vibration,,,,,
optionBtnPush,푸시알림,Push,,,,,
optionBtnScreen,화면비율,Screen,,,,,
optionBtnHomepage0,홈페이지,Homepage,,,,,
optionBtnHomepage1,공식카페,Official community,,,,,
optionUIJoin,가입일 : %s,Join date : %s,,,,,
deleteAccountUIQuestion,탈퇴하시겠습니까?,Delete?,,,,,
deleteAccountUINick,닉네임 : %s,Nickname : %s,,,,,
deleteAccountUIPlaceHolder,닉네임을 정확히 입력해주세요.,Please enter your nickname correctly.,,,,,
deleteAccountUIWarning,지금까지 진행한 데이터가 모두 사라집니다.\n탈퇴한 계정은 다시 복구할 수 없습니다.,All your game data will disappear.\nDeleted accounts can't be restored.,,,,,
deleteAccountUIWarning2,사용하셨던 닉네임은 다시 사용할 수 없습니다.,Nickname you used can't be reused.,,,,,
deleteAccountUISuccess,계정 탈퇴가 완료되었습니다.,Your account has been deleted.,,,,,
deleteAccountUINotRestored,탈퇴한 계정은 다시 복구할 수 없습니다.,Deleted accounts can't be restored.,,,,,
deleteAccountUIFailure,계정 탈퇴가 실패되었습니다.,Account deletion failed.,,,,,
overwriteWarning,※ 사용할 경우 누적된 수치가\n초기화 됩니다.,"※ If you use again, the previous\nnumbers will overwrite the current one.",※ 使用後，累計數值將會初始化。,※ もう一度しようする場合前回適用された数値が使われます。,"※ Przy następnym użyciu, poprzednie liczby\nnadpiszą obecne.",※ 使用後，累計數值將會初始化。,"※ Jika kamu gunakan lagi, jumlah sebelumnya\nakan ditimpa."
passCheck,PASSWORD 확인,Password check,確認密碼,パスワード 確認,Potwierdź hasło,確認密碼,Ketik ulang PASSWORD
passNotMatch,패스워드가 일치하지 않습니다.,Password does not match.,密碼不正確。,パスワードが正しくありません。,Podane hasła się nie zgadzają.,密碼不正確。,Password tidak cocok
percPtIncrease,%d%% 증가,%d%% chance,,,,,
poisonDamageLabel,\n%d의 독 데미지를 입었다.,You've been harmed\nby the poison (%d damage).,受%d的毒性傷害。,\n%dの毒ダメージを受けた。,Zostałeś zraniony przez\ntruciznę (%d obrażeń),受%d的毒性傷害。,Kamu telah terkena \nracun (%d damage).
portalAlreadyOpenMsg,고대 포탈이 이미 열려 있습니다. <lightbrown>다크닉스</lightbrown>와의 전투가 시작됩니다.,Ancient Portal is already open. <lightbrown>Darknix</lightbrown> fight starts!,古代傳送門已打開。與<lightbrown>達靈斯</lightbrown>的戰鬥即將要開始。,Ancient portal is already opened.,Portal jest już otwarty. Walka z <lightbrown>%s</lightbrown>rozpocznie się..,古代傳送門已打開。與<lightbrown>達靈斯</lightbrown>的戰鬥即將要開始。,Portal sudah dibuka. Pertarungan dengan <lightbrown>%s</lightbrown>akan dimulai.
portalOpen,고대 포탈이 지하던전에 열렸습니다.\n지금 바로 지하 던전으로 이동하시겠습니까?,The Ancient portal in the under dungeon\nis open. Would you like to move to\nthe under dungeon?,通往地下城的古代傳送門已打開。\n您現在需要即時轉移到地下城嗎?,古代ポータルが地下ダンジョンに開きました。今すぐ地下ダンジョンに移動しますか？,Portal podróży w czasie został otwarty\nw Lochach. Czy chcesz się udać do\n podziemnych lochów?,通往地下城的古代傳送門已打開。\n您現在需要即時轉移到地下城嗎?,Time travel portal di underground dungeon\nterbuka. Maukah kamu pergi ke \nunderground dungeon?
position,위,.,地點,位,,地點,
prevBossWarning,"<lightbrown>%s</lightbrown>은(는) 아직 전 단계의<red>\n보스를 이기지 않아서</red>, <lightbrown>%s</lightbrown>으로\n탐험을 떠날수 없습니다.","<lightbrown>%s</lightbrown> didn't beat<red>\nprevious boss</red>,\nso can't explore <lightbrown>%s</lightbrown>.","<lightbrown>%s</lightbrown>尚未擊敗前一階段的<red>\n王怪怪，</red>, 無法冒險<lightbrown>%s</lightbrown>。","<lightbrown>%s</lightbrown> didn't beat<red>\nprevious boss</red>,\nso can't explore <lightbrown>%s</lightbrown>.",Pokonaj najpierw poprzedniego bosa z %s aby wejść do %s.,"<lightbrown>%s</lightbrown>尚未擊敗前一階段的<red>\n王怪怪，</red>, 無法冒險<lightbrown>%s</lightbrown>。",Kalahkan dulu bos sebelumnya agar\n%s\n\n bisa masuk %s.
putGemOnLeft,"강화시킬 아이템을 왼쪽 칸에 넣어 주세요.\n강화 가능 아이템: 자양강장제, 젬","Put item you want to upgrade on the left slot.\nItems that can be Strengthened, Nutrition drink, Gems.","請把您要強化的物品放在左邊。\n能強化的物品: 強化劑, 寶石",強化アイテムを左スロットに入れてください。強化可能アイテム：滋養強壮剤、ジェム,"Przenieś na lewą stronę przedmiot, który chcesz ulepszyć.\nUlepszyć można: żywność, napoje, klejnoty.","請把您要強化的物品放在左邊。\n能強化的物品: 強化劑, 寶石","letakkan item yang ingin kamu upgrade ke slot sebelah kiri.\nitem yang bisa diperkuat: buff drink, gems."
