구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,표정,대사 한글,대사 영문,연출 종류,사운드
,36,17,하늘왕국 왕궁 배경,루나,Luna,26,"그러던 어느날 욕망에 사로잡힌 자들이 나타나기 시작했고,","And then one day, those who were obsessed with desire began to show up.",,
,36,18,하늘왕국 왕궁 배경,루나,Luna,26,강력한 힘을 가진 마석을 악용하기 시작했습니다.,They began to abuse powerful mana stones.,,
,36,19,하늘왕국 왕궁 배경,루나,Luna,26,그것을 두고 볼 수 없던 마도사는 마석을 악용할 수 없도록 레무리아 전체를 봉인했죠.,"The wizard, unable to stand it, sealed the entire Remuria so that it could not be abused.",,
,36,20,하늘왕국 왕궁 배경,,,0,문명 전체를 봉인할 정도의 강력한 힘. \n얼마나 강력한 힘인지 상상이 되지 않았다.,Powerful enough to seal the entire civilization. \nI couldn't imagine how powerful it was.,,
,36,21,하늘왕국 왕궁 배경,,,0,루나 왕녀는 계속 이야기를 했다.,Princess Luna kept talking.,,
,36,22,하늘왕국 왕궁 배경,루나,Luna,26,봉인 후 마도사는 훗날 누군가가 이 힘을 제대로 사용하길 원했죠.,"After sealing it, the wizard wanted someone to use this power properly later on.",,
,36,23,하늘왕국 왕궁 배경,루나,Luna,26,그래서 세상에 문명에 대한 정보를 유물에 기록하였습니다.,So he recorded information about civilization on the artifact.,,
,36,24,하늘왕국 왕궁 배경,베로니카,Veronica,94,그럼 그 정보란게 레무리아가 봉인 된 위치인 건가요?,So that information is where Remuria is sealed?,,
,36,25,하늘왕국 왕궁 배경,루나,Luna,26,그래요. 정확하게는 봉인을 푸는 방법에 대해 나와있습니다.,"Yes, exactly how to unseal the seal.",,
,36,26,하늘왕국 왕궁 배경,루나,Luna,26,그리고 쉽게 알 수 없도록 유물을 3개로 나누었죠.,And he divided the artifact into three pieces so that it's hard to read.,,
,36,27,하늘왕국 왕궁 배경,요셉,Joseph,98,그 3개 중 이미 검은로브가 2개를 모은거군요.,Black robe has already collected 2 artifacts out of those three.,,
,36,28,하늘왕국 왕궁 배경,요셉,Joseph,98,고대 문명의 위치를 찾아내면 자신들의 이익을 위해 그 힘을 악용하겠죠.,"If he find the location of an ancient civilization, he will abuse its power for his own.",,
,36,29,하늘왕국 왕궁 배경,베로니카,Veronica,94,"이대로 놔둘 순 없습니다. 유물을 지켜야해요, 왕녀님!","I can't leave it as it is. We must protect the artifact, my princess!",,
,36,30,하늘왕국 왕궁 배경,루나,Luna,26,괜찮습니다. 하늘왕국에서 가장 안전한 곳에 있...,It's okay. It's in the safest place in Sky realm...,,
,36,31,하늘왕국 왕궁 배경,,,0,루나 왕녀는 말을 하다 멈추곤 예전 일을 회상했다.,Princess Luna stopped talking and recalled the past.,,
,36,32,하늘왕국 왕궁 배경,,,0,그리고 헥토르를 바라보며 입을 열었다.,Then she looked at Hector and opened her mouth.,,
,36,33,하늘왕국 왕궁 배경,루나,Luna,26,더 이상 안전한 곳은 없죠. 헥토르 그곳으로 안내해주세요.,"There's no place safe anymore. Hector, please show them there.",,
,36,34,하늘왕국 왕궁 배경,헥토르,Hector,30,"네, 가시죠. 망자의 은신처로.","Yes, let's go to Deads' Refuge.",,
,37,1,망자의 은신처 배경,헥토르,Hector,30,이곳에 와도 유물은 쉽게 가져올 수 없을 겁니다.,"Even if he comes here, he won't be able to bring the artifacts easily.",,
,37,2,망자의 은신처 배경,누리,Nuri,2,왜요?,Why?,,
,37,3,망자의 은신처 배경,헥토르,Hector,30,드래곤 슬레이어를 봉인해야만 유물을 가져올 수 있으니까요.,He has to seal Dragon slayer to take the artifact.,,
,37,4,망자의 은신처 배경,누리,Nuri,3,"그정도면 괘..괜찮아요, 그치 (주인공)?","That's fine, isn't it, (주인공)?",,
,37,5,망자의 은신처 배경,즈믄,Zimon,6,같은 테이머이면서 이럴 때만 (주인공) 찾네.,You're also a tamer but you're only trying to put it off to (주인공).,,
,37,6,망자의 은신처 배경,누리,Nuri,4,예쁜 얼굴에 상처라도 나면 네가 책임질거야?!,Are you going to take responsibility if I hurt my pretty face?!,,
,37,7,망자의 은신처 배경,즈믄,Zimon,7,책임질 정도의 얼굴은 아닌걸~,You don't look so pretty.,,
,37,8,망자의 은신처 배경,누리,Nuri,4,뭐어?!,What did you say?!,,
,37,9,망자의 은신처 배경,,,0,티격태격거리는 둘을 두고 드래곤 슬레이어를 봉인하기 위해 움직였다.,"I tried to seal Dragon slayer, over the two quarreling.",,
,38,1,망자의 은신처 배경,누리,Nuri,3,유물을 찾았다!,We found the artifact!,,
,38,2,망자의 은신처 배경,즈믄,Zimon,6,고대 문자로 써져 있는데?,It's written in ancient letters.,,
,38,3,망자의 은신처 배경,베로니카,Veronica,94,고대 문자라면 조금은 알고 있습니다만…,I know a little bit about ancient letters.But...,,
,38,4,망자의 은신처 배경,베로니카,Veronica,97,너무 오래된 문자라 알아보기가 힘드네요.,it's hard to read because it's such an old text.,,
,38,5,망자의 은신처 배경,누리,Nuri,2,고대 문자라면 넬슨이 알지도 몰라! 마을에 가서 넬슨에게 해독해달라고 하자!,"If it's an ancient letter, Nelson might know it! Let's go to village and ask Nelson to decipher it!",,
,38,6,망자의 은신처 배경,헥토르,Hector,32,왕녀님이 허락치 않으실겁니다.,The princess won't allow it.,,
,38,7,망자의 은신처 배경,즈믄,Zimon,6,그럼 가서 허락을 받으면 되겠네.,Then you can go get permission.,,
,38,8,망자의 은신처 배경,헥토르,Hector,32,루나 왕녀님의 고집을 어떻게 꺽으실..!,How can we break Princess Luna's stubbornness?,,
,38,9,망자의 은신처 배경,즈믄,Zimon,7,이 일을 가장 잘 하는 사람에게 부탁하면 돼.,We can ask the person who does that best.,,
,39,1,왕궁별채 배경,지부장,Ellis Finnell,66,그런거라면 간단하군요.,That's simple.,,
,39,2,왕궁별채 배경,누리,Nuri,3,역시 지부장님이세요! 그럼 빨리가셔서 왕녀님에게 얘기를..,I knew it! So you can go and tell the princess...,,
,39,3,왕궁별채 배경,지부장,Ellis Finnell,66,그럴 필요없습니다. 넬슨이란 사람을 데려오면 되요.,There is no need. You can bring in a man named Nelson.,,
,39,4,왕궁별채 배경,,,0,어디선가 쿵쾅대는 소리가 들리더니 누군가 다급하게 달려오고 있었다.,I heard a thud somewhere and someone was running urgently.,,
,39,5,왕궁별채 배경,디트,Deet,74,허억..허억..대화중에 미안하지만 혹시 무지개 동산 쪽에 장치를 설치해뒀었어?,"Oh, my God. I'm sorry to interrupt this conversation, but did you install a device near Rainbow?",,
,39,6,왕궁별채 배경,요셉,Joseph,98,"네, 혹시 몰라서 설치해뒀었죠.","Yes, I did it just in case.",,
,39,7,왕궁별채 배경,디트,Deet,74,그곳에서 신호가 잡혀오고 있어. 그것도 무척 강하게!,There's a signal coming from there. That's very strong!,,
,39,8,왕궁별채 배경,지부장,Ellis Finnell,66,제가 넬슨이란 자를 데려올테니 여러분은 무지개 동산을 부탁하죠.,I'll get a man named Nelson. Check what happened at the Rainbow.,,
,40,1,무지개 동산 배경,,,0,무지개 동산에는 검은로브의 사도가 있었다.,There was an apostle of black robes at Rainbow.,,BGM/dragon_theme_10sec.mp3
,40,2,무지개 동산 배경,요셉,Joseph,100,검은로브의 사도!,Black robe!,,
,40,3,무지개 동산 배경,검은로브,Black robe,105,또 만났구나! 하지만 이미 늦었어. 부활은 이미 시작됐으니!,We met again! But it's too late. The resurrection has already begun!,,
,40,4,무지개 동산 배경,,,0,검은로브의 주변으로 거대한 마법진이 형성되어 빛을 발하자 무지개 동산 호수의 물기둥이 솟아올랐다.,"A huge magic circle formed around the black robe and shone, and the water column of the lake rose.",7,
,40,5,시즌6컷신8,,,0,그리고 그곳에서 다이어울프와 차원이 다른 막강한 힘을 지닌 드래곤이 나타났다.,And there appeared a dragon that looked stronger than Dire wolf.,,
,41,1,무지개 동산 배경,누리,Nuri,5,너무 강해!,We can't hold it!,,BGM/dragon_theme_10sec.mp3
,41,2,무지개 동산 배경,즈믄,Zimon,8,일단 후퇴하는게 좋겠어!,We'd better retreat for now!,,
,41,3,무지개 동산 배경,베로니카,Veronica,97,"네, 아무래도 새롭게 나타난 드래곤에 대해 알아야 할 것 같네요.","Yes, I think we should find out about the new enemy.",,
,42,1,왕궁별채 배경,지부장,Ellis Finnell,68,검은로브의 사도가 또 나타났나요?,Is there apostle of the black robe there?,,
,42,2,왕궁별채 배경,베로니카,Veronica,97,"네, 그리고 또 다른 드래곤도 나타났고요..","Yeah, and another Dragon.",,
,42,3,왕궁별채 배경,넬슨,Nelsen,10,앞으로 그럼 두 마리가 더 나타나겠군요.,Then there will be two more.,,
,42,4,왕궁별채 배경,누리,Nuri,3,넬슨!,Nelson!,,
,42,5,왕궁별채 배경,누리,Nuri,2,근데 두 마리가 더 나타난다니 그게 무슨말이야?,Two more? What do you mean?,,
,42,6,왕궁별채 배경,넬슨,Nelsen,10,봉인된 문명은 4마리의 드래곤들이 부활할 때 다시 나타날 것이라고 유물에 써져있어.,It says on the artifect that the sealed civilization will reappear when the four dragons are resurrected.,,
,42,7,왕궁별채 배경,넬슨,Nelsen,10,그리고 고대 드래곤을 부활 시키는 방법에 대한 이야기도 써져있지..,And there's a way about how to resurrect an ancient dragon.,,
,42,8,왕궁별채 배경,베로니카,Veronica,94,마석에 대한 정보도 있나요?,Do you have any information about the mana stone?,,
,42,9,왕궁별채 배경,넬슨,Nelsen,10,"아니요, 사제님. 더 이상의 정보는 없었어요.","No, priestess. I didn't have any more information.",,
,42,10,왕궁별채 배경,요셉,Joseph,98,검은로브를 제압하면 마석에 대한 정보를 얻을 수 있지 않을까요?,Wouldn't we be able to get information about the mana stone if we subdued the black robe?,,
,42,11,왕궁별채 배경,누리,Nuri,5,지금 우리가 가진 힘으로는 고대 드래곤조차 막지 못하잖아요!,But we can't even stop the ancient dragon!,,
,42,12,왕궁별채 배경,베로니카,Veronica,94,빛의 축복을 받은 드래곤들이라면 고대 드래곤을 상대할 수 있을 겁니다.,"If you're a dragon blessed with light, you'll be able to defeat the ancient dragons.",,
,42,13,왕궁별채 배경,누리,Nuri,2,빛의 축복을 받은 드래곤?,Bless of Light?,,
,42,14,왕궁별채 배경,베로니카,Veronica,94,저희 신성 바이델왕국에서는 매주의 시작마다 아모르님에게 기도를 올리고 의식을 치릅니다.,"At the beginning of each week, we pray to Amorru and hold a ceremony in Holy Videl Kingdom.",,
,42,15,왕궁별채 배경,베로니카,Veronica,94,이 의식을 빛의 축복이라 해요.,This ceremony is called the blessing of light.,,
,42,16,왕궁별채 배경,베로니카,Veronica,94,마이아님이 계시를 받아 5마리의 드래곤에게 축복을 부여하는 것이죠.,Maia is giving blessings to five dragons with her revelation.,,
,42,17,왕궁별채 배경,베로니카,Veronica,94,축복을 받은 드래곤은 어떠한 악의 힘에도 영향을 받지 않아요.,Blessed dragons are not affected by any evil forces.,,
,42,18,왕궁별채 배경,누리,Nuri,2,그럼 매주마다 계시받는 드래곤이 바뀌나요?,Then does the dragons that are blessed change every week?,,
,42,19,왕궁별채 배경,베로니카,Veronica,94,"네, 마이아님이 매주 새로운 계시를 받으십니다.","Yes, Maia receives a new revelation every week.",,
,42,20,왕궁별채 배경,지부장,Ellis Finnell,66,그렇군요. 그럼 빛의 축복을 받은 드래곤으로 싸워보죠.,I see. Let's fight the dragons blessed with light.,,
,42,21,왕궁별채 배경,넬슨,Nelsen,10,그동안 나는 이 유물에 대한 해석을 모두 끝내놓을게!,"Then, I'll finish the interpretation of this artifact!",,
,43,1,하늘왕국 왕궁 배경,,,0,왕궁에 도착하니 지부장이 마중나와 있었고 함께 알현실로 들어갔다.,"When we arrived at the Royal Villa, the manager came out to meet us and entered the audience room together.",,
,43,2,하늘왕국 왕궁 배경,,,0,루나 왕녀가 안도의 한숨을 쉬었다.,Princess Luna sighed with relief.,,
,43,3,하늘왕국 왕궁 배경,루나,Luna,26,다행히 고대 드래곤을 제압하셨군요.,"Fortunately, you defeated the ancient dragon.",,
,43,4,하늘왕국 왕궁 배경,루나,Luna,26,여러분들이 고대 드래곤을 상대하고 있을 때 유물에 대한 생각을 많이 했습니다.,"While you were defeating the ancient dragon, I thought about the artifact.",,
,43,5,하늘왕국 왕궁 배경,루나,Luna,26,생각 끝에 왕궁의 힘만으로는 유물을 지킬 수 없다는 결론에 이르렀어요.,"After thinking about it, I came to the conclusion that the power of Sky realm cannot protect the artifact.",,
,43,6,하늘왕국 왕궁 배경,,,0,루나 왕녀는 눈을 감고 잠시 숨을 들이마셨다가 내쉬며 말을 이어갔다.,"Princess Luna closed her eyes, breathed in for a while, and continued to speak.",,
,43,7,하늘왕국 왕궁 배경,루나,Luna,26,과거의 일이 다시 반복되지 않도록 여러분에게 부탁드립니다. 유물을 지켜주세요.,I ask you not to repeat what happened in the past. Please protect the artifact.,,
,43,8,하늘왕국 왕궁 배경,,,0,모두들 자신의 귀를 의심하였다.,Everyone doubted their ears.,,
,43,9,하늘왕국 왕궁 배경,,,0,차갑고 냉정했던 루나 왕녀가 부탁을 하다니...,"I can't believe the cold, hard-hearted Princess Luna asked us to...",,
,43,10,하늘왕국 왕궁 배경,루나,Luna,26,헥토르 그것을 내어오세요.,"Hector, bring it.",,
,43,11,하늘왕국 왕궁 배경,헥토르,Hector,33,"왕녀님, 다시 한번 생각을..","My princess, please reconsider.",,
,43,12,하늘왕국 왕궁 배경,루나,Luna,28,명령입니다! 가져오세요!,That's an order! Bring it!,,
,43,13,하늘왕국 왕궁 배경,헥토르,Hector,33,"...네, 알겠습니다.",Yes princess.,,
,43,14,하늘왕국 왕궁 배경,,,0,헥토르가 어떤 물건을 들고 왔다.,Hector brought something with him.,,
,43,15,하늘왕국 왕궁 배경,루나,Luna,26,그것은 왕국에서 최고수호자에게만 주어지는 수호자의 방패입니다.,"This is the shield, which is only given to the highest guardian of  Sky realm.",,
,43,16,하늘왕국 왕궁 배경,루나,Luna,26,그것이라면 더이상 힘이 악용되는 역사의 반복이 일어나지 않게 막을 수 있을 거에요.,That would prevent the repetition of history where power is no longer abused.,,
,43,17,하늘왕국 왕궁 배경,,,0,그렇게 수호자의 방패를 얻게 되었다.,That's how I got the Guardian's shield.,,
,43,18,하늘왕국 왕궁 배경,,,0,...,...,11,
,43,19,까만 배경,,,0,...,...,,stop
,43,20,까만 배경,,,0,어둡고 으슥한 동굴 속 어딘가…,"Somewhere in a dark, dark cave...",,
,43,21,까만 배경,검은로브,Black robe,105,이제 남은 유물을 찾아 고대드래곤을 부활시키면 그곳을 찾을 수 있을 것입니다.,"Now, if we find the remains and resurrect the ancient dragon, we will find it.",,BGM/dream_vestige.mp3
,43,22,까만 배경,검은로브의 수장,Master black robe,106,빛의 사제들이 방해를 하는군.,The Priests of Light are interfering with us.,,
,43,23,까만 배경,검은로브,Black robe,105,괜찮습니다. 어차피 그곳을 찾아내는건 시간문제일 뿐이니까요.,You don't have to care. It's only a matter of time before we find it anyway.,,
,43,24,까만 배경,검은로브의 수장,Master black robe,106,"그래, 그것을 손에 넣기만 한다면 우리의 사명이 곧 이루어질 것이다. 크크크큭","Yes. If we get hold of it, our long-cherished desire will soon come true. ",,
