구분,시나리오 넘버,대사 넘버,배경,캐릭터 한글,캐릭터 영문,캐릭터 번자,표정,대사 한글,대사 영문,대사 번자,연출 종류,사운드
,8,17,아르하 월드맵,렉스톤,Rexton,雷克斯頓,,바닥이 못버텨! 조금 있으면 지면이 무너져서 전부 다 땅 속으로 빠져버린다!,Come on! Land gonna be broken soon!,地板支撐不住了！再過一會兒，地面會崩塌，全都將掉進地下的！,,
,8,18,아르하 월드맵,주인공,Player,Player,,눈의 착각이겠지만 해골이 새파래지는 것이 보였다.\n그리고 G스컬이 무너지는 바닥을 확인하려고 고개를 숙인 그 순간을 놓치지 않았다.,"It should be an illusion, but I could see the skull turning pale.\nAnd I didn't miss the chance when G-skull dropped his head to check the ground that was collapsing.",雖然可能是看錯，但我好像看見骷髏變得蒼白。\n而當G骷髏低頭想查看崩塌的地面時，我沒有錯過那一刻。,,
,8,19,아르하 월드맵,주인공,Player,Player,,난 재빨리 고대신룡과 함께 사력을 다해 뛰었다.\nG스컬이 뒤에서 뭐라고 소리지르는 것 같았지만 신경쓰지 않았다.,I ran quickly with God dragon.\nIt was like G-skull was yelling behind my back but I didn't care.,我與古代神龍一起迅速全力奔跑。雖然好像聽見G骷髏在後面大聲叫喊，但我沒有在意。,,
,8,20,아르하 월드맵,주인공,Player,Player,,몇번의 진동을 버텨내고 간신히 렉스톤의 곁에 당도했다.\n그리고 뒤를 돌아봤을 때는 아무것도 없었다. 아직도 느껴지는 여진과 함께 무너진 절벽만이 보일 뿐.,"Finally, I could reach to Rexton.\nAnd when I looked back, there was nothing. I can only see the cliff that collapsed with the aftershocks.",經過幾次震動，我勉強來到雷克斯頓的身邊。\n當我回頭看的時候，什麼都沒有。只剩下感覺仍有餘震和倒塌的懸崖。,,
,8,21,아르하 월드맵,주인공,Player,Player,,"도, 도와줘서 고마워. 위험한 순간이었어 정말로.",Th..Thank you Rexton. It was really close.,多謝你幫助我。剛剛真的是很危險。,,
,8,22,아르하 월드맵,렉스톤,Rexton,雷克斯頓,,"흥, 그 해골바가지 놈은 아직도 선량한 드래곤들을 괴롭히나 보군.\n응? 근데 고대신룡 아냐? 왜 아르하에서... 거기다 왜이리 다친거야?","Well, Skull thing still bothering the good dragons.\nHuh? God dragon? Why in Archa ... why is he hurt?",哼，那個骷髏傢伙還在欺負善良的龍嗎？\n嗯？不過是古代神龍吧？為什麼會在阿爾哈...而且怎麼受傷這麼嚴重？,,
,8,23,아르하 월드맵,주인공,Player,Player,,나를 감싸다가 그만 G스컬에게 당해버렸어.\n서둘러서 꿈의 세계로 돌아가야 해! 제발 조금만 더 도와줘!,He was covering me up and got attacked by G-skull.\nWe have to back to World of dream! Please help me a little more!,在保護我時不小心被G骷髏擊中了。必須趕快回到夢的世界！請再幫我一下！,,
,8,24,아르하 월드맵,렉스톤,Rexton,雷克斯頓,,뭐? 꿈의 세계로 돌아간다고?,What? Go back to World of Dreams?,什麼？要回到夢境世界？,,
,8,25,아르하 월드맵,주인공,Player,Player,,갑자기 크게 놀라는 렉스톤의 반응에 난 아무 말도 할 수 없었다.\n뭔가 좋지 않은 이유라도 있었던 걸까?,"I couldn't answer to Rexton's response, Rexton looked puzzled.\nWas there something wrong with Rexton?",突然看到雷克斯頓大為驚訝的反應，我一句話也說不出來。\n難道是有什麼不好的原因嗎？,,
,8,26,아르하 월드맵,렉스톤,Rexton,雷克斯頓,,"세상에, 갑자기 알 수 없는 이유로 이곳에 떨어지고 나서 한번도 돌아가지 못했는데......\n꿈의 세계로 돌아갈 수 있다는거냐 정말로?",My god. I haven't been back since I fell here for some unknown reason ......\nYou mean you can go back to World of Dream?,天啊，我因為某種不明的原因突然掉到這裡，從來沒辦法回去過……難道真的可以回到夢境世界嗎？,,
,8,27,아르하 월드맵,주인공,Player,Player,,"어, 으응. 저쪽에 내가 왔던 거대한 문이 있어. 거기를 통과하면 다시 꿈의 세계로......","There is a huge gate over there, We can get through the gate and....",啊，嗯。那邊有我穿越的那扇大門。如果通過那裡，應該可以回到夢境世界……,,
,8,28,아르하 월드맵,렉스톤,Rexton,雷克斯頓,,드디어 고향으로 돌아갈 수 있게 되었군!\n돌아가면 날 이곳으로 내버린 놈을 찾아서 절대 가만두지 않겠다!,"Yes! I can finally go back to my hometown!\nWhen I get back, I'll find the man who dumped me here and I'll never forgive him!",終於可以回到故鄉了！\n回去後，我一定會找到把我丟在這裡的人，絕不會輕饒他！,,
,8,29,아르하 월드맵,주인공,Player,Player,,내 말이 채 끝나기도 전에 렉스톤은 기쁨과 분노를 동시에 터뜨렸다.\n그리고 렉스톤의 도움으로 상처입은 고대신룡과 함께 아르하 전초기지로 서둘러 발을 옮겼다.,"Even before I could finish what I said, Rexton burst into both joy and anger.\nWe then moved to base camp with God dragon was injured with the help of Rexton.",在我說完話前，雷克斯頓就同時爆發出喜悅和怒憤。\n然後在雷克斯頓的幫助下，我和受傷的古代神龍一起匆忙前往阿爾哈前哨基地。,,
,,,,퀘스트,퀘스트,퀘스트,13,꿈의 세계로 돌아가자\n(아르하에 있는 거대한 문에 퀘스트 표시),Go back to World of Dreams,回到夢的世界吧\n(阿爾哈那裡的大門上顯示了任務標誌),,
